0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,ASN Origin : 56246,,,,,,,,,,,,,,,
,,Router : Distribusi IDC D3,,,,,,,,,,,,,,,
,,IP Name : PT Sumber Data Indonesia,,,,,,,,,,,,,,,
,,IP Blok 103.10.120.0/24,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Mask (Dec) :,,.252,,.248,,.240,,.224,,.192,,.128,,.0,
,,,,/30,,/29,,/28,,/27,,/26,,/25,,/24,
,,,,2,,3,,4,,5,,6,,7,,8,
,,Alokasi,Vlan,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast
,,Server SDI,608,0,3,0,,0,,0,,0,,0,,0,
,,,,4,7,,7,,,,,,,,,,
,,"6(mail.sumberdata),7(radius),8(devel),9(fan),10(dev),11,12 (dev),13(syslog),14(app)",,8,11,8,,,,,,,,,,,
,,,,12,15,,15,,15,,,,,,,,
,,Server ,608,16,19,16,,16,,,,,,,,,
,,,,20,23,,23,,,,,,,,,,
,,,,24,27,24,,,,,,,,,,,
,,,,28,31,,31,,31,,31,,,,,,
,,INET RK Radius,1120,32,35,32,,32,,32,,,,,,,
,,,,36,39,,39,,,,,,,,,,
,,,,40,43,40,,,,,,,,,,,
,,,,44,47,,47,,47,,,,,,,,
,,,,48,51,48,,48,,,,,,,,,
,,,,52,55,,55,,,,,,,,,,
,,,,56,59,56,,,,,,,,,,,
,,v613-dist-d3-to-ls-agg-ipt,613,60,63,,63,,63,,63,,63,,,,
,,v621-ls-agg-z-ix-to-dist-d3,621,64,67,64,,64,,64,,64,,,,,
,,AMWAY-1,1410,68,71,,71,,,,,,,,,,
,,,,72,75,72,,,,,,,,,,,
,,,,76,79,,79,,79,,,,,,,,
,,AMWAY-2 - route ke 103.10.120.70,1410,80,83,80,,80,,,,,,,,,
,,,,84,87,,87,,,,,,,,,,
,,,,88,91,88,,,,,,,,,,,
,,,,92,95,,95,,95,,95,,,,,,
,,,,96,99,96,,96,,96,,,,,,,
,,,,100,103,,103,,,,,,,,,,
,,,,104,107,104,,,,,,,,,,,
,,,,108,111,,111,,111,,,,,,,,
,,,,112,115,112,,112,,,,,,,,,
,,Remote SDIX MX204 new,132,116,119,,119,,,,,,,,,,
,,Server Rozi Relokasi Matrix,24,120,123,120,,,,,,,,,,,
,,,,124,127,,127,,127,,127,,127,,127,,
,,,,128,131,128,,128,,128,,128,,128,,,
,,,,132,135,,135,,,,,,,,,,
,,,,136,139,136,,,,,,,,,,,
,,,,140,143,,143,,143,,,,,,,,
,,kediri,1118,144,147,144,,144,,,,,,,,,
,,,,148,151,,151,,,,,,,,,,
,,KEDIRI D1 - route ke 103.10.120.148,1118,152,155,152,,,,,,,,,,,
,,,,156,159,,159,,159,,159,,,,,,
,,SAS RADIUS - route ke 114.198.245.41,608,160,163,160,,160,,160,,,,,,,
,,,,164,167,,167,,,,,,,,,,
,,,,168,171,168,,,,,,,,,,,
,,,,172,175,,175,,175,,,,,,,,
,,,,176,179,176,,176,,,,,,,,,
,,,,180,183,,183,,,,,,,,,,
,,,,184,187,184,,,,,,,,,,,
,,,,188,191,,191,,191,,191,,191,,,,
,,Remote Mx960 D3 - route ke 103.10.123.6,124,192,195,192,,192,,192,,192,,,,,
,,PTP MX960 Cyber <> Dist D3,,196,199,,199,,,,,,,,,,
,,remote ro pondok cibubur,1117,200,203,200,,,,,,,,,,,
,,TO Multi IX 304,,204,207,,207,,207,,,,,,,,
,,,,208,211,208,,208,,,,,,,,,
,,,,212,215,,215,,,,,,,,,,
,,,,216,219,216,,,,,,,,,,,
,,IIX APJII CCR,1706,220,223,,223,,223,,223,,,,,,
,,,,224,227,224,,224,,224,,,,,,,
,,,,228,231,,231,,,,,,,,,,
,,Warung Data route to 120.122,24,232,235,232,,,,,,,,,,,
,,,,236,239,,239,,239,,,,,,,,
,,LS-Ncix-pe1,1174,240,243,240,,240,,,,,,,,,
,,LS-NTTIX-to-Dist-D3,440,244,247,,247,,,,,,,,,,
,,,,248,251,248,,,,,,,,,,,
,,,,252,253,,255,,255,,255,,255,,255,,255
