,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,IP Blok 103.10.121.0/24,,,,,,,,,,,,,,,
,Mask (Dec) :,,.252,,.248,,.240,,.224,,.192,,.128,,.0,
,,,/30,,/29,,/28,,/27,,/26,,/25,,/24,
,,,2,,3,,4,,5,,6,,7,,8,
,Alokasi,Vlan,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast
,Server SDI,608,0,3,0,,0,,0,,0,,0,,0,
,,,4,7,,7,,,,,,,,,,
,,,8,11,8,,,,,,,,,,,
,,,12,15,,15,,15,,,,,,,,
,,,16,19,16,,16,,,,,,,,,
,,,20,23,,23,,,,,,,,,,
,,,24,27,24,,,,,,,,,,,
,,,28,31,,31,,31,,31,,,,,,
,Server SDI,608,32,35,32,,32,,32,,,,,,,
,,,36,39,,39,,,,,,,,,,
,,,40,43,40,,,,,,,,,,,
,,,44,47,,47,,47,,,,,,,,
,,,48,51,48,,48,,,,,,,,,
,,,52,55,,55,,,,,,,,,,
,,,56,59,56,,,,,,,,,,,
,,,60,63,,63,,63,,63,,63,,,,
,,,64,67,64,,64,,64,,64,,,,,
,,,68,71,,71,,,,,,,,,,
,,,72,75,    ,,,,,,,,,,,
,,,76,79,,79,,79,,,,,,,,
,Server SDI,608,80,83,80,,80,,,,,,,,,
,,,84,87,,87,,,,,,,,,,
,,,88,91,88,,,,,,,,,,,
,,,92,95,,95,,95,,95,,,,,,
,Hosting SDI,608,96,99,96,,96,,96,,,,,,,
,,,100,103,,103,,,,,,,,,,
,,,104,107,104,,,,,,,,,,,
,,,108,111,,111,,111,,,,,,,,
,,,112,115,112,,112,,,,,,,,,
,,,116,119,,119,,,,,,,,,,
,,,120,123,120,,,,,,,,,,,
,,,124,127,,127,,127,,127,,127,,127,,
,,,128,131,128,,128,,128,,128,,128,,,
,,,132,135,,135,,,,,,,,,,
,,,136,139,136,,,,,,,,,,,
,,,140,143,,143,,143,,,,,,,,
,,,144,147,144,,144,,,,,,,,,
,,,148,151,,151,,,,,,,,,,
,CGS Majapahit,543,152,155,152,,,,,,,,,,,
,,,156,159,,159,,159,,159,,,,,,
,PTP PONCI,310,160,163,160,,160,,160,,,,,,,
,,,164,167,,167,,,,,,,,,,
,Server CGD,126,168,171,168,,,,,,,,,,,
,,,172,175,,175,,175,,,,,,,,
,KSO BROADBAND D3,78,176,179,176,,176,,,,,,,,,
,,,,183,,183,,,,,,,,,,
,,,184,187,184,,,,,,,,,,,
,,,188,191,,191,,191,,191,,191,,,,
,PTP Dist MR - Dist IDC direct,40,192,195,192,,192,,192,,192,,,,,
,,,196,199,,199,,,,,,,,,,
,,,200,203,200,,,,,,,,,,,
,SDIX to IDC D3,242,204,207,,207,,207,,,,,,,,
,Broadband D3 CCR 2116,78,208,211,208,,208,,,,,,,,,
,,,212,215,,215,,,,,,,,,,
,Transfello,2178,216,219,216,,,,,,,,,,,
,KSO BROADBAND D3,78,220,223,,223,,223,,223,,,,,,
,Ro Distribusi Broadband D3,78,224,227,224,,224,,224,,,,,,,
,mikrotik d3 baru,,228,231,,231,,,,,,,,,,
,MX-204-SG,,232,235,232,,,,,,,,,,,
,KSO BROADBAND D3,78,236,239,,239,,239,,,,,,,,
,KSO BROADBAND D3,78,240,243,240,,240,,,,,,,,,
,,,244,247,,247,,,,,,,,,,
,PE1-FNA /31,157,248,251,248,,,,,,,,,,,
,Ro Distribusi Broadband D3,78,252,255,,255,,255,,255,,255,,255,,255
