,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,ASN Origin : 56246,,,,,,,,,,,,,,,,
,Router : OIXP D3,,,,,,,,,,,,,,,,
,IP Name : PT Sumber Data Indonesia,,,,,,,,,,,,,,,,
103.10.123,,,,,,,,,,,,,,,,,
,IP Blok 103.10.123 PTP OIXP/IIX,,,,,,,,,,,,,,,,
,Mask (Dec) :,,0.252,,0.248,,0.24,,0.224,,0.192,,0.128,,0,,
,,,/30,,/29,,/28,,/27,,/26,,/25,,/24,,
,,,2,,3,,4,,5,,6,,7,,8,,
,Alokasi,Vlan,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,
,,,0,3,0,,,,,,,,,,,,
,dist idc d3,124,4,7,,7,,,,,,,,,,,
,,,8,11,8,,,,,,,,,,,,
,,,12,15,,15,,,,,,,,,,,
,Oixp Surabaya ,,16,19,16,,,,,,,,,,,,
,,,20,23,,23,,,,,,,,,,,
,,,24,27,24,,,,,,,,,,,,
,,,28,31,,31,,,,,,,,,,,
,Dist BALI NIX,252,32,35,32,,32,,,,,,,,,,
,ptp MKT SDI MATRIX IIX,458,36,39,,39,,,,,,,,,,,
,,,40,43,40,,,,,,,,,,,,
,,,44,47,,47,,47,,,,,,,,,
,,,48,51,,,48,,,,,,,,,,
,,,52,55,,,,,,,,,,,,,
,, ,56,59,56,,,,,,,,,,,,
,,,60,63,,63,,63,,63,,63,,,,,
,,,64,67,64,,64,,,,64,,,,,,
,SDI-Connect to OIXP,1038,68,71,,71,,,,,,,,,,,
,RO Batam to OIXP,413,72,75,,,,,,,,,,,,,
,Multi 3 Paket B to OIXP /31,1295,76,77,,,,,,,,,,,,,
,to Multi 4 Paket C /31,1315,78,79,,79,,79,,,,,,,,,
,,,80,83,,,80,,,,,,,,,,
,,,84,87,,87,,,,,,,,,,,
,,,88,91,88,,,,,,,,,,,,
,, ,92,95,,95,,95,,95,,,,,,,
,, ,96,99,96,,96,,96,,,,,,,,
,,,100,103,,103,,,,,,,,,,,
,,,104,107,104,,,,,,,,,,,,
,,,108,111,,111,,111,,,,,,,,,
,,,112,115,112,,112,,,,,,,,,,
,,,116,119,,119,,,,,,,,,,,
,,,120,123,120,,,,,,,,,,,,
,,,124,127,,127,,127,,127,,127,,127,,,
,,,128,131,128,,128,,128,,128,,128,,,,note
,idle yee,,132,135,,135,,,,,,,,,,,
, , ,136,139,136,,,,,,,,,,,,
,,,140,143,,143,,143,,,,,,,,,
,,,144,147,144,,144,,,,116.68.171.115,,,,,,
,,,148,151,,151,,,,,,,,,,,
,,,152,153,,,,,,,,,,,,,
,avail /31,,154,155,,,,,,,,,,,,,
,OIXP to PE1 ls nethome /31,228,156,157,,,,,,,,,,,,,
,avail /31,,158,159,,,,,,,,,,,,,
,Ruko Pd.Gede,313,160,163,,,,,,,,,,,,,
,,,164,167,,,,,,,,,,,,,
,,,168,171,,,,,,,,,,,,,
,,,172,175,,,,,,,,,,,,,
,,,176,179,176,,176,,,,,,,,,,
,,,180,183,,183,,,,,,,,,,,
,,,184,187,184,,,,,,,,,,,,
,,,188,191,,191,,191,,191,,191,,,,,
,,,192,195,192,,192,,192,,192,,,,,,
,,,196,199,,199,,,,,,,,,,,
,,,200,203,200,,,,,,,,,,,,
,,,204,207,,207,,207,,,,,,,,,
,,,208,211,208,,208,,,,,,,,,,
,,,212,215,,215,,,,,,,,,,,
,,,216,219,216,,,,,,,,,,,,
,,,220,223,,223,,223,,223,,,,,,,
,TNCC Primary AS131860,956,224,227,224,,224,,224,,,,,,,,
,TNCC Secondary AS131860,948,228,231,,231,,,,,,,,,,,
,,,232,235,232,,,,,,,,,,,,
, , ,236,239,,x,,239,,,,,,,,,
,SDI-Google-SG-MRO2-Dist-D3,1028,240,243,240,,240,,,,,,,,,,
,google-sdi-pe1,1027,244,247,,,,,,,,,,,,,
,avail /31,,248,249,248,,,,,,,,,,,,
,static TNCC,,250,251,,,,,,,,,,,,,
,static TNCC, ,252,253,,255,,255,,255,,255,,255,,255,
,avail /31,,254,255,,,,,,,,,,,,,
