,,,,,,,,,,,,,,,,,,,
,IP Blok 103.11.28.0/24,,,,,,,,,,,,,,,,,,
,Mask (Dec) :,,0.252,,0.248,,0.24,,0.224,,0.192,,0.128,,0,,,,
,,,/30,,/29,,/28,,/27,,/26,,/25,,/24,,,,
,,,2,,3,,4,,5,,6,,7,,8,,,,
,Alokasi,Vlan,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,,,
,idle ya ges ya,,0,1,0,,0,,0,,0,,0,,0,,,,
,idle ya ges ya,,2,3,,,,,,,,,,,,,,,
,,,4,7,,7,,,,,,,,,,,,,
,PT Bina Informatika Solusindo,,8,11,8,,,,,,,,,,,,,,
,idle yee,,12,15,,15,,15,,,,,,,,,,,: Booked Migrasi PTP
,IDLE YA GES YA,,16,19,16,,16,,,,,,,,,,,,
,PT Sukha Karya Teknologi (Migrasi) Pkt.B,,20,23,,23,,,,,,,,,,,,,
,,,24,27,24,,,,,,,,,,,,,,
,PT Cyberplus Media Pratama (Migrasi) Pkt.C,,28,31,,31,,31,,31,,,,,,,,,
,PT Dewata Telematika (MIgrasi) Pkt.C,,32,35,32,,32,,32,,,,,,,,,,
,PT Jaringan Multimedia Cirebon (Migrasi) Pkt.C,,36,39,,39,,,,,,,,,,,,,
,Telemedia-nc,2721,40,43,40,,,,,,,,,,,,,,
,PT Sukha Karya Teknologi,1839,44,47,,47,,47,,,,,,,,,,,
,PT Teknologi Bumi Nusantara (Migrasi) Pkt.C,,48,51,48,,48,,,,,,,,,,,,
,PT Terra Sigma Solusi (Migrasi) Pkt.C Neucentrix,,52,55,,55,,,,,,,,,,,,,
,,,56,59,56,,,,,,,,,,,,,,
,PT Informasi Nusantara Teknologi,2492,60,63,,63,,63,,63,,63,,,,,,,
,,,64,67,64,,64,,64,,64,,,,,,,,
,,,68,71,,71,,,,,,,,,,,,,
,,,72,75,72,,,,,,,,,,,,,,
,,,76,79,,79,,79,,,,,,,,,,,
,,,80,83,80,,80,,,,,,,,,,,,
,IDLE YA GES YA,,84,87,,87,,,,,,,,,,,,,
,,,88,91,88,,,,,,,,,,,,,,
,,,92,95,,95,,95,,95,,,,,,,,,
,,,96,99,96,,96,,96,,,,,,,,,,
,idle yee,,100,103,,103,,,,,,,,,,,,,
,,,104,107,104,,,,,,,,,,,,,,
,,,108,111,,111,,111,,,,,,,,,,,
,,,112,115,112,,112,,,,,,,,,,,,
,,,116,119,,119,,,,,,,,,,,,,
,,,120,123,120,,,,,,,,,,,,,,
,,,124,127,,127,,127,,127,,127,,127,,,,,
,,,128,131,128,,128,,128,,128,,128,,,,,,
,,,132,135,,135,,,,,,,,,,,,,
,,,136,139,136,,,,,,,,,,,,,,
,,,140,143,,143,,143,,,,,,,,,,,
,,,144,147,144,,144,,,,,,,,,,,,
,,,148,151,,151,,,,,,,,,,,,,
,,,152,155,152,,,,,,,,,,,,,,
,,,156,159,,159,,159,,159,,,,,,,,,
,,,160,163,160,,160,,160,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,164,167,,167,,,,,,,,,,,,,
,,,168,171,168,,,,,,,,,,,,,,
,,,172,175,,175,,175,,,,,,,,,,,
,,,176,179,176,,176,,,,,,,,,,,,
,,,180,183,,183,,,,,,,,,,,,,
,to main router,,184,185,184,,,,,,,,,,,,,,
,v2382-0-pni-mx304-to-sdiix-58389,2382,186,187,,,,,,,,,,,,,,,
,v2383-1-pni-mx304-to-sdiix-58389,2383,188,189,,191,,191,,191,,191,,,,,,,
,v2386-4-ls-googlesdi-sg-to-sdiix-58389,2386,190,191,,,,,,,,,,,,,,,
,v2387-ls-sgix-mx204-sg -to-sdiix-58389,2387,192,193,192,,192,,192,,192,,,,,,,,
,v2388-ls-equinix-sg1-to-sdiix-58389,2388,194,195,,,,,,,,,,,,,,,
,v2389-content-local-pe1-to-sdiix-58389,2389,196,197,,199,,,,,,,,,,,,,
,v2391-facebook-ntt-pe1-to-sdiix-58389,2391,198,199,,,,,,,,,,,,,,,
,v2392-ls-google-cloud-pe1-to-sdiix-58389,2392,200,201,200,,,,,,,,,,,,,,
,v2393-ls-google-jkt-pe1-to-sdiix-58389,2393,202,203,,,,,,,,,,,,,,,
,v2394-ls-google-pe1 -to-sdiix-58389,2394,204,205,,207,,207,,,,,,,,,,,
,v2397-ls-google-sdi-pe1-to-sdiix-58389,2397,206,207,,,,,,,,,,,,,,,
,v2398-ls-netflix-pe1-to-sdiix-58389,2398,208,209,208,,208,,,,,,,,,,,,
,v2402-ls-nttix-pe1-to-sdiix-58389,2402,210,211,,,,,,,,,,,,,,,
,ls-google-sg-pe1,2592,212,213,,215,,,,,,,,,,,,,
,ls-google-cloud-pe1,2593,214,215,,,,,,,,,,,,,,,
,ls-google-sdi-pe1,2594,216,217,216,,,,,,,,,,,,,,
,ls-google-sdi-sg,2595,218,219,,,,,,,,,,,,,,,
,ls-sdi-nap-sg,2596,220,221,,223,,223,,223,,,,,,,,,
,ls-sgix,2597,222,223,,,,,,,,,,,,,,,
,ls-eie,2598,224,225,224,,224,,224,,,,,,,,,,
,ls-sdi-nap-99-15,2599,226,227,,,,,,,,,,,,,,,
,ls-loc-exch,2605,228,229,,231,,,,,,,,,,,,,
,ls-0-99-14,2606,230,231,,,,,,,,,,,,,,,
,LS CDN,LT,232,233,232,,,,,,,,,,,,,,
,ptp ls ggc dps to ls sdi nap jkt,306,234,235,,,,,,,,,,,,,,,
,zetta paket bc to ls google jkt pe1,/31 1236,236,237,,239,,239,,,,,,,,,,,
,idle yee,,238,239,,,,,,,,,,,,,,,
,idLE YA GES YA,,240,241,240,,240,,,,,,,,,,,,
,idLE YA GES YA,,242,243,,,,,,,,,,,,,,,
,idLE YA GES YA,,244,245,,247,,,,,,,,,,,,,
,IDLE YA GES YA,,246,247,,,,,,,,,,,,,,,
,IDLE YA GES YA,,248,249,248,,,,,,,,,,,,,,
,idle yee,,250,251,,,,,,,,,,,,,,,
,IDLE YA GES YA,,252,253,,,,,,,,,,,,,,,
,idLE YA GES YA,,254,255,,255,,255,,255,,255,,255,,255,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Kroscek ocin 13/9/2022,,,,,,,,,,,,,,,,,,
