cgs,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,IP Point To Point SDIIX,,,,,,,,,,,,,,,
,IP Blok 103.11.29.0/24,,,,,,,,,,,,,,,
,Mask (Dec) :,,.252,,.248,,.240,,.224,,.192,,.128,,.0,
,,,/30,,/29,,/28,,/27,,/26,,/25,,/24,
,,,2,,3,,4,,5,,6,,7,,8,
,Alokasi,Alokasi,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast
,LS SDI Connect to LS Google MRP /31,1042,0,1,,,,,,,,,,,,
,IDLE YA GES YA,,2,3,,,,,,,,,,,,
,Dist Bali NIX ,251,4,7,4,7,4,,4,,4,,4,,4,
,SDIIX Bandung Migrasi,786,8,11,8,,,,,,,,,,,
,IDLE YA GES YA,,12,13,,,,,,,,,,,,
,multi 4 paket C to LS Equinix,1306,14,15,,15,,15,,,,,,,,
,Multi 4 paket C to SDIIX,1307,16,17,,,,,,,,,,,,
,PTP SDI Connect to LS FNA,1670,18,19,16,,16,,,,,,,,,
,PTP SDI Connect to LS FB NTT,1672,20,21,,,,,,,,,,,,
,PTP SDI Connect to LS Netflix,1674,22,23,,23,,,,,,,,,,
,,,24,27,24,,,,,,,,,,,
,to LS Google MRP Equinix /31,131,28,29,,31,,31,,31,,,,,,
,to LS Facebook SG Equinix /31,133,30,31,,,,,,,,,,,,
,BIN,333,32,,,,,,,,,,,,,
,,,,,,39,,,,,,,,,,
,PT Lisar Network,2356,40,43,,,,,,,,,,,,
,PTP TRANSIT 2 - LS FB NTT /31,1515,44,45,,,,,,,,,,,,
,PTP TRANSIT 2 - LS FNA /31,1516,46,47,,,,,,,,,,,,
,PTP TRANSIT 2 to LS EQUINIX /31,1519,48,49,,,,,,,,,,,,
,PTP TRANSIT 2 to LS GOOGLE PE1 /31,1520,50,51,,,,,,,,,,,,
,Dist Bandung,71,52,55,,,,,,,,,,,,
,v1562-sdix-kediri-2,,56,59,,,,,,,,,,,,
,,idle,60,61,,,,,,,,,,,,
,PTP TRANSIT 2 to SDIIX /31,1524,62,63,,,,,,,,,,,,
,Ruko Pd. Gede,312,64,67,,,,,,,,,,,,
,Jaringan VNT,,68,71,,,,,,,,,,,,
,Media Indo Cyber,355,72,75,,,,,,,,,,,,
,TNCC Cikeas,686,76,79,,,,,,,,,,,,
,PTP MX960 Cyber - sdix,137,80,83,,,,,,,,,,,,
,TNCC Cikeas,683,84,87,,,,,,,,,,,,
,Bitsnet,2514,88,91,,,,,,,,,,,,
,SDIIX to CORE KEDIRI /30,594,92,95,,,,,,,,,,,,
,PTP GGC DPS1 - SDIIX /31,908,96,97,,,,,,,,,,,,
,PTP GGC DPS1 - LS EQUINIX /31,906,98,99,,,,,,,,,,,,
,PTP GGC DPS1 - LS GOOGLE SG /31,907,100,101,,,,,,,,,,,,
,v1814-mro2-sdix,/31,102,103,,,,,,,,,,,,
,to mx204,347,104,107,,,,,,,,,,,,
,Dist Bandung-2,74,108,111,,,,,,,,,,,,
,Melsa peer 2,,112,115,,,,,,,,,,,,
,PTP LS-Google-MRP-2 /31,1432,116,117,,,,,,,,,,,,
,PTP LS-eie-2 /31,1591,118,119,,,,,,,,,,,,
,TNCC SDIIX Secondary AS131860,946,120,123,,,,,,,,,,,,
,TNCC SDIIX Primary AS38764,975,124,127,,,,,,,,,,,,
,MX204IPT - to sdix,249,128,131,,,,,,,,,,,,
