,,,,,,,,,,,,,,,,,
,IP Blok  103.11.30.0/24,,,,,,,,,,,,,,,,
,Mask (Dec) :,,0.252,,0.248,,0.24,,0.224,,0.192,,0.128,,0,,
,,,/30,,/29,,/28,,/27,,/26,,/25,,/24,,
,,,2,,3,,4,,5,,6,,7,,8,,
,Alokasi,Vlan,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,
,idle yee,,0,1,0,,0,,0,,0,,0,,0,,
,idle yee,,2,3,,,,,,,,,,,,,
,LS Mconnect plus <> IIX Apjii CCR,1709,4,5,,7,,,,,,,,,,,B
,available /31,,6,7,,,,,,,,,,,,,
,idle yee,,8,9,,,,,,,,,,,,,
,,,10,11,8,,,,,,,,,,,,
,,,12,15,,15,,15,,,,,,,,,
,,,16,19,16,,16,,,,,,,,,,
,,,20,23,,23,,,,,,,,,,,
,,,24,27,24,,,,,,,,,,,,
,,,28,31,,31,,31,,31,,,,,,,
,,,32,35,32,,32,,32,,,,,,,,
,,,36,39,,39,,,,,,,,,,,
,,,40,43,40,,,,,,,,,,,,
,,,44,47,,47,,47,,,,,,,,,
,,,48,51,48,,48,,,,,,,,,,
,,,52,55,,55,,,,,,,,,,,
,,,56,59,56,,,,,,,,,,,,
,,,60,63,,63,,63,,63,,63,,,,,
,,,64,67,64,,64,,64,,64,,,,,,
,,,68,71,,71,,,,,,,,,,,
,,,72,75,72,,,,,,,,,,,,
,,,76,79,,79,,79,,,,,,,,,
,,,80,83,80,,80,,,,,,,,,,
,,,84,87,,87,,,,,,,,,,,
,,,88,91,88,,,,,,,,,,,,
,PT Lestari Exellika Barokah (Suspend) ,2395,92,95,,95,,95,,95,,,,,,,
,PT Media Distribusi Prima ,1283,96,99,96,,96,,96,,,,,,,,
,,,100,103,,103,,,,,,,,,,,
,,,104,107,104,,,,,,,,,,,,
,,,108,111,,111,,111,,,,,,,,,
,,,112,115,112,,112,,,,,,,,,,
,,,116,119,,119,,,,,,,,,,,
,SDI - APJII - RAK M,1580,120,123,120,,,,,,,,,,,,
,,,124,127,,127,,127,,127,,127,,127,,,
,,,128,131,128,,128,,128,,128,,128,,,,
,,,132,135,,135,,,,,,,,,,,
,,,136,139,136,,,,,,,,,,,,
,idle ya ges ya,,140,143,,143,,143,,,,,,,,,
,,,144,147,144,,144,,,,,,,,,,
,,,148,151,,151,,,,,,,,,,,
,idle yeee,,152,155,152,,,,,,,,,,,,
,,,156,159,,159,,159,,159,,,,,,,
,,,160,163,160,,160,,160,,,,,,,,
,,,164,167,,167,,,,,,,,,,,
,,,168,171,168,,,,,,,,,,,,
,,,172,175,,175,,175,,,,,,,,,
,,,176,179,176,,176,,,,,,,,,,
,,,180,183,,183,,,,,,,,,,,
,,,184,187,184,,,,,,,,,,,,
,,,188,191,,191,,191,,191,,191,,,,,
,,,192,195,192,,192,,192,,192,,,,,,
,,,196,199,,199,,,,,,,,,,,
,,,200,203,200,,,,,,,,,,,,
,,,204,207,,207,,207,,,,,,,,,
,,,208,211,208,,208,,,,,,,,,,
,,,212,215,,215,,,,,,,,,,,
,,,216,217,216,,,,,,,,,,,,
,idle yeee,,218,219,,,,,,,,,,,,,
,idle yeee,,220,221,,223,,223,,223,,,,,,,
,idle yeee,,222,223,,,,,,,,,,,,,
,available /31,,224,225,,,,,,,,,,,,,
,idle yeee,,226,227,224,,224,,224,,,,,,,,
,,,228,231,,231,,,,,,,,,,,
,,,232,233,,,,,,,,,,,,,
,,,234,235,232,,,,,,,,,,,,
,,,236,237,,,,,,,,,,,,,
,,,238,239,,239,,239,,,,,,,,,
,To Multiplus PE02 Via ICON 100g,1768,240,241,,,,,,,,,,,,,
,To Multiplus PE02 Via FS,1769,242,243,240,,240,,,,,,,,,,
,IDLE YA GES YA,,244,245,,,,,,,,,,,,,
,IDLE YA GES YA,,246,247,,247,,,,,,,,,,,
,idle yee,,248,249,248,,,,,,,,,,,,
,idlE YA GES YA,,250,251,,,,,,,,,,,,,
,available /31,,252,253,,,,,,,,,,,,,
,available /31,,254,255,,255,,255,,255,,255,,255,,255,
