,,,,,,,,,,,,,,,,
ASN Origin : 56246,,,,,,,,,,,,,,,,
Router : Multiconnect-Paket-B,,,,,,,,,,,,,,,,
IP Name : PT Arya Azahra Arthama ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
103.143.222.0/24,,,,,,,,,,,,,,,,
Mask (Dec) :,,0.252,,0.248,,0.24,,0.224,,0.192,,0.128,,0,,
,,/30,,/29,,/28,,/27,,/26,,/25,,/24,,
,,2,,3,,4,,5,,6,,7,,8,,
Alokasi,Vlan,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,
,988,0,3,0,,0,,0,,0,,0,,0,,
,989,4,7,,7,,,,,,,,,,,B
,990,8,11,8,,,,,,,,,,,,
TNCC dowank 8 peer,991,12,15,,15,,15,,,,,,,,,
,992,16,19,16,,16,,,,,,,,,,
,993,20,23,,23,,,,,,,,,,,
,994,24,27,24,,,,,,,,,,,,
,995,28,31,,31,,31,,31,,,,,,,
test sdi con RK,695,32,35,32,,32,,32,,,,,,,,
TNCC Cikeas Peer Baru,988,36,39,,39,,,,,,,,,,,
,989,40,43,40,,,,,,,,,,,,
,990,44,47,,47,,47,,,,,,,,,
,991,48,51,48,,48,,,,,,,,,,
TNCC Truno Peer Baru,992,52,55,,55,,,,,,,,,,,
,993,56,59,56,,,,,,,,,,,,
,994,60,63,,63,,63,,63,,63,,,,,
,995,64,67,64,,64,,64,,64,,,,,,
,,68,71,,71,,,,,,,,,,,
,,72,75,72,,,,,,,,,,,,
Zeki Trial Kediri,,76,79,,79,,79,,,,,,,,,
Zaki,,80,83,80,,80,,,,,,,,,,
,,84,87,,87,,,,,,,,,,,
,,88,91,88,,,,,,,,,,,,
,,92,95,,95,,95,,95,,,,,,,
,,96,99,96,,96,,96,,,,,,,,
,,100,103,,103,,,,,,,,,,,
,,104,107,104,,,,,,,,,,,,
cybermantra mangga 2,2993,108,111,,111,,111,,,,,,,,,
tncc backup,1446,112,115,112,,112,,,,,,,,,,
,992,116,119,,119,,,,,,,,,,,
,,120,123,120,,,,,,,,,,,,
,,124,127,,127,,127,,127,,127,,127,,,
,,128,131,128,,128,,128,,128,,128,,,,
,,132,135,,135,,,,,,,,,,,
,,136,139,136,,,,,,,,,,,,
,,140,143,,143,,143,,,,,,,,,
,,144,147,144,,144,,,,,,,,,,
,,148,151,,151,,,,,,,,,,,
,,152,155,152,,,,,,,,,,,,
,,156,159,,159,,159,,159,,,,,,,
,,160,163,160,,160,,160,,,,,,,,
,,164,167,,167,,,,,,,,,,,
,,168,171,168,,,,,,,,,,,,
,,172,175,,175,,175,,,,,,,,,
,,176,179,176,,176,,,,,,,,,,
,,180,183,,183,,,,,,,,,,,
,,184,187,184,,,,,,,,,,,,
,,188,191,,191,,191,,191,,191,,,,,
,,192,195,192,,192,,192,,192,,,,,,
,,196,199,,199,,,,,,,,,,,
,,200,203,200,,,,,,,,,,,,
,,204,207,,207,,207,,,,,,,,,
,,208,211,208,,208,,,,,,,,,,
,,212,213,,215,,,,,,,,,,,
v1025-ls-sdi-nap-to-SDI-Connect /31,1025,214,215,,,,,,,,,,,,,
ls-eie-sg,1593,216,217,216,,,,,,,,,,,,
TO LS GOOGLE SDI PE2,/31,218,219,,,,,,,,,,,,,
mx204 batam/31,2001,220,223,,223,,223,,223,,,,,,,
ls-2-transit-sg-2,,224,225,224,,224,,224,,,,,,,,
ls-google-sdi-pe1,,226,227,,,,,,,,,,,,,
ptp ls google 56246 cgk ntt,/31,228,229,,231,,,,,,,,,,,
v2228-LS-4-UPS-MX304-SDI-Connect,2228,230,231,,,,,,,,,,,,,
LS-PNI-MX304-sdi-connect,2141,232,233,232,,,,,,,,,,,,
LS SDICONNECT to MRO2,,234,235,,,,,,,,,,,,,
"to google-sg""",,236,237,,,,,,,,,,,,,
PTP SDI Connect to IIX APJII CCR /31,1710,238,239,,239,,239,,,,,,,,,
PTP SDI Connect to LS fb-ntt /31,1672,240,241,240,,240,,,,,,,,,,
PTP SDI Connect to LS fna /31,1670,242,243,,,,,,,,,,,,,
PTP SDI Connect to LS Content campur /31,1589,244,245,,247,,,,,,,,,,,
PTP ncix pe1 to sdi connect /31,645,246,247,,,,,,,,,,,,,
PTP SDI Connect to LS AKAMAI /31,1671,248,249,248,,,,,,,,,,,,
PTP SDI Connect to LS Google SG PE1 /31,1673,250,251,,,,,,,,,,,,,
LS-google-mrp-2 /31,1433,252,253,,255,,255,,255,,255,,255,,255,
,,254,255,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,252,255,,255,,255,,255,,255,,255,,255
