,,,,,,,,,,,,,,,,,
103.152.235.0/24,,,,,,,,,,,,,,,,,
Mask (Dec) :,,0.252,,0.248,,0.24,,0.224,,0.192,,0.128,,0,,,
,,/30,,/29,,/28,,/27,,/26,,/25,,/24,,,
,,2,,3,,4,,5,,6,,7,,8,,,
Alokasi,Vlan,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,,
Dist Tj Pinang,17,0,3,0,,0,,0,,0,,0,,0,,,IP Atas nama PT Data Nusantara Adhikarya
,,4,7,,7,,,,,,,,,,,B,
,,8,11,8,,,,,,,,,,,,,
,,12,15,,15,,15,,,,,,,,,,
,,16,19,16,,16,,,,,,,,,,,
,,20,23,,23,,,,,,,,,,,,
,,24,27,24,,,,,,,,,,,,,
,,28,31,,31,,31,,31,,,,,,,,
PTP FNA PINANG,178,32,35,32,,32,,32,,,,,,,,,
server speedtes,653,36,39,,39,,,,,,,,,,,,
Publik dinamis pinang,,40,43,40,,,,,,,,,,,,,
ptp pinang-SGIX-FS,1792,44,45,,47,,47,,,,,,,,,,
ptp pinang-SGIX-MTX,1793,46,47,48,,48,,,,,,,,,,,
ptp pinang-ls-eie-FS,1794,48,49,,55,,,,,,,,,,,,
ptp pinang-ls-eie-MTX,1795,50,51,56,,,,,,,,,,,,,
ptp pinang-mro-1-FS,1796,52,53,,63,,63,,63,,63,,,,,,
ptp pinang-mro-1-MTX,1797,54,55,,,,,,,,,,,,,,
ptp pinang-mro-2-FS,1798,56,57,,,,,,,,,,,,,,
ptp pinang-mro-2-MTX,1799,58,59,,,,,,,,,,,,,,
ptp pinang-Loc-Exch-FS,1800,60,61,,,,,,,,,,,,,,
ptp pinang-Loc-Exch-MTX,1801,62,63,,,,,,,,,,,,,,
IP FNA Cache,,64,67,64,,64,,64,,64,,,,,,,
,,68,71,,71,,,,,,,,,,,,
,,72,75,72,,,,,,,,,,,,,
,,76,79,,79,,79,,,,,,,,,,
,,80,83,80,,80,,,,,,,,,,,
,,84,87,,87,,,,,,,,,,,,
,,88,91,88,,,,,,,,,,,,,
,,92,95,,95,,95,,95,,,,,,,,
,,96,99,96,,96,,96,,,,,,,,,
,,100,103,,103,,,,,,,,,,,,
,,104,107,104,,,,,,,,,,,,,
,,108,111,,111,,111,,,,,,,,,,
,,112,115,112,,112,,,,,,,,,,,
,,116,119,,119,,,,,,,,,,,,
,,120,123,120,,,,,,,,,,,,,
,,124,127,,127,,127,,127,,127,,127,,,,
LS-SDI-NAP-SG,/31,128,129,128,,128,,128,,128,,128,,,,,
ls sdi nap jkt,,130,131,,,,,,,,,,,,,,
ls transit equinix,573,132,135,,135,,,,,,,,,,,,
google mrp,574,136,139,136,,,,,,,,,,,,,
equinix sg,575,140,143,,143,,143,,,,,,,,,,
PT-BAI,,144,147,144,,144,,,,,,,,,,,
ls-google-mrp-2,1436,148,151,,151,,,,,,,,,,,,
ls-eie-2,1591,152,155,152,,,,,,,,,,,,,
PT BAI,,156,159,,159,,159,,159,,,,,,,,
PT BAI,,160,163,160,,160,,160,,,,,,,,,
,,164,167,,167,,,,,,,,,,,,
oixp red,,168,171,168,,,,,,,,,,,,,
v2546-MRO-1,/31,172,173,,175,,175,,,,,,,,,,
v2547-MRO-2,/31,174,175,,,,,,,,,,,,,,
v2548-LS-EIE,/31,176,177,,,,,,,,,,,,,,
v2549-LS-SGIX,/31,178,179,176,,176,,,,,,,,,,,
v2550-Local-Exchange,/31,180,181,,,,,,,,,,,,,,
IP LOOPBACK MX PINANG,/31,182,183,,,,,,,,,,,,,,
server pakk roni,653,184,187,184,,,,,,,,,,,,,
,,188,191,,191,,191,,191,,191,,,,,,
Server GGC /26,,192,195,192,,192,,192,,192,,,,,,,
,,196,199,,199,,,,,,,,,,,,
,,200,203,200,,,,,,,,,,,,,
,,204,207,,207,,207,,,,,,,,,,
,,208,211,208,,208,,,,,,,,,,,
,,212,215,,215,,,,,,,,,,,,
,,216,219,216,,,,,,,,,,,,,
,,220,223,,223,,223,,223,,,,,,,,
,,224,227,224,,224,,224,,,,,,,,,
,,228,231,,231,,,,,,,,,,,,
,,232,235,232,,,,,,,,,,,,,
,,236,239,,239,,239,,,,,,,,,,
,,240,243,240,,240,,,,,,,,,,,
,,244,247,,247,,,,,,,,,,,,
,,248,251,248,,,,,,,,,,,,,
,,252,255,,255,,255,,255,,255,,255,,255,,
,,,,,,,,,,,,,,,,,
,,,252,255,,255,,255,,255,,255,,255,,255,
