,,,,,,,,,,,,,,,,,
103.162.233.0/24,,,,,,,,,,,,,,,,,
Mask (Dec) :,,0.252,,0.248,,0.24,,0.224,,0.192,,0.128,,0,,,
,,/30,,/29,,/28,,/27,,/26,,/25,,/24,,,
,,2,,3,,4,,5,,6,,7,,8,,,
Alokasi,Vlan,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,,
PTP PAKET C to LS GGC NEW PE2 /31,912,0,1,0,,0,,0,,0,,0,,0,,,
PTP PAKET C to LS Transit-2 /31,1632,2,3,,,,,,,,,,,,,,IP Atas nama Amboro
PTP PAKET C TO LS TRANSIT /31,1305,4,5,,,,,,,,,,,,,B,
PTP PAKET C TO LS MICROSOft,1314,6,7,,7,,,,,,,,,,,,
PT Erajaya Telco Indonesia,2014,8,11,8,,,,,,,,,,,,,
,,12,15,,15,,15,,,,,,,,,,
,,16,19,16,,16,,,,,,,,,,,
,,20,23,,23,,,,,,,,,,,,
,,24,27,24,,,,,,,,,,,,,
,,28,31,,31,,31,,31,,,,,,,,
PT Cyberplus,1138,32,35,32,,32,,32,,,,,,,,,
,,36,39,,39,,,,,,,,,,,,
,,40,43,40,,,,,,,,,,,,,
,,44,47,,47,,47,,,,,,,,,,
PT Teknologi Bumi Nusantara,302,48,51,48,,48,,,,,,,,,,,
PT Dewata Telematika ( Detelnet ),1548,52,55,,55,,,,,,,,,,,,
,,56,59,56,,,,,,,,,,,,,
,,60,63,,63,,63,,63,,63,,,,,,
PT Terra Sigma Solusi,1842,64,67,64,,64,,64,,64,,,,,,,
,,68,71,,71,,,,,,,,,,,,
,,72,75,72,,,,,,,,,,,,,
,,76,79,,79,,79,,,,,,,,,,
,,80,83,80,,80,,,,,,,,,,,
,,84,87,,87,,,,,,,,,,,,
PT Master Start Network,1620,88,91,88,,,,,,,,,,,,,
,,92,95,,95,,95,,95,,,,,,,,
PT Jaringan Multimedia Cirebon,1848,96,99,96,,96,,96,,,,,,,,,
LINTAS TEKNOLOGI SOLUSINDO,3525,100,103,,103,,,,,,,,,,,,
,,104,107,104,,,,,,,,,,,,,
PT Terra Sigma Solusi,1842,108,111,,111,,111,,,,,,,,,,
Metro Ring bersama,1859,112,115,112,,112,,,,,,,,,,,
PT Jaya Technology Nusantara,2272,116,119,,119,,,,,,,,,,,,
PT Golden Network Nusantara,1923,120,123,120,,,,,,,,,,,,,
PT Kreatif pasific,1549,124,127,,127,,127,,127,,127,,127,,,,
Eratel /29,2014,128,131,128,,128,,128,,128,,128,,,,,
,,132,135,,135,,,,,,,,,,,,
,,136,139,136,,,,,,,,,,,,,
,,140,143,,143,,143,,,,,,,,,,
,,144,147,144,,144,,,,,,,,,,,
,,148,151,,151,,,,,,,,,,,,
,,152,155,152,,,,,,,,,,,,,
,,156,159,,159,,159,,159,,,,,,,,
,,160,163,160,,160,,160,,,,,,,,,
,,164,167,,167,,,,,,,,,,,,
,,168,171,168,,,,,,,,,,,,,
,,172,175,,175,,175,,,,,,,,,,
,,176,179,176,,176,,,,,,,,,,,
,,180,183,,183,,,,,,,,,,,,
,,184,187,184,,,,,,,,,,,,,
,,188,191,,191,,191,,191,,191,,,,,,
,,192,195,192,,192,,192,,192,,,,,,,
,,196,199,,199,,,,,,,,,,,,
,,200,203,200,,,,,,,,,,,,,
,,204,207,,207,,207,,,,,,,,,,
,,208,211,208,,208,,,,,,,,,,,
,,212,215,,215,,,,,,,,,,,,
,,216,219,216,,,,,,,,,,,,,
,,220,223,,223,,223,,223,,,,,,,,
,,224,227,224,,224,,224,,,,,,,,,
,,228,231,,231,,,,,,,,,,,,
paket c to ls google jkt pe1,/31 1249,232,233,232,,,,,,,,,,,,,
ls-sdi-nap-304-99-15,2869,234,235,,,,,,,,,,,,,,
ls google cloud pe1,,236,237,,239,,239,,,,,,,,,,
ls ncix pe1,,238,239,,,,,,,,,,,,,,
ls google sdi pe2,/31,240,241,240,,240,,,,,,,,,,,
v2227-LS-4-UPS-MX304-Paket-C,2227,242,243,,,,,,,,,,,,,,
LS-PNI-MX304-paket-C,2139,244,245,,247,,,,,,,,,,,,
v1810-mro2-paket-c,/31,246,247,,,,,,,,,,,,,,
Multi 4 Paket C to ls akamai,1311,248,249,248,,,,,,,,,,,,,
Multi 4 Paket C to ls NTTIX ,1312,250,251,,,,,,,,,,,,,,
ls-google-sg-pe1,1310,252,253,,255,,255,,255,,255,,255,,255,,
ls-eie-2 /31,1594,254,255,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,252,255,,255,,255,,255,,255,,255,,255,
