cgs,,,,,,,,,,,,,,,,,
,IP Blok 103.174.62.0/24,,,,,,,,,,,,,,,,
,Mask (Dec) :,,0.252,,0.248,,0.24,,0.224,,0.192,,0.128,,0,,
,,,/30,,/29,,/28,,/27,,/26,,/25,,/24,,
,,,2,,3,,4,,5,,6,,7,,8,,
,Alokasi,Vlan,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,
,DIST FTTH TNJ PINANG,100,0,3,0,,0,,0,,0,,0,,0,,
,,,4,7,,7,,,,,,,,,,,B
,,,8,11,8,,,,,,,,,,,,
,,,12,15,,15,,15,,,,,,,,,
,,,16,19,16,,16,,,,,,,,,,
,,,20,23,,23,,,,,,,,,,,
,,,24,27,24,,,,,,,,,,,,
,,,28,31,,31,,31,,31,,,,,,,
,PUBLIC Client RO-1,,32,35,32,,32,,32,,,,,,,,
,,,36,39,,39,,,,,,,,,,,
,,,40,43,40,,,,,,,,,,,,
,,,44,47,,47,,47,,,,,,,,,
,PUBLIC Client RO-2,,48,51,48,,48,,,,,,,,,,
,Ibnu Hurairah,/30,52,55,,55,,,,,,,,,,,
,,,56,59,56,,,,,,,,,,,,
,,,60,63,,63,,63,,63,,63,,,,,
,PUBLIC Client RO-3,,64,67,64,,64,,64,,64,,,,,,
,,,68,71,,71,,,,,,,,,,,
,,,72,75,72,,,,,,,,,,,,
,,,76,79,,79,,79,,,,,,,,,
,PUBLIC Client RO-4,,80,83,80,,80,,,,,,,,,,
,,,84,87,,87,,,,,,,,,,,
,,,88,91,88,,,,,,,,,,,,
,,,92,95,,95,,95,,95,,,,,,,
,PUBLIC Client RO-5,,96,99,96,,96,,96,,,,,,,,
,,,100,103,,103,,,,,,,,,,,
,,,104,107,104,,,,,,,,,,,,
,,,108,111,,111,,111,,,,,,,,,
,PUBLIC Client RO-1-S2,,112,115,112,,112,,,,,,,,,,
,,,116,119,,119,,,,,,,,,,,
,Public RO11 S1,/30,120,123,120,123,,,,,,,,,,,
,Mochammad Ade Fadillah,/30,124,127,124,127,,127,,127,,127,,127,,,
,PUBLIC CLIENT RO-6,,128,131,128,,128,,128,,128,,128,,,,
,,,132,135,,135,,,,,,,,,,,
,,,136,139,136,,,,,,,,,,,,
,,,140,143,,143,,143,,,,,,,,,
,PUBLICK RO 7,,144,147,144,,144,,,,,,,,,,
,,,148,151,,151,,,,,,,,,,,
,,,152,155,152,,,,,,,,,,,,
,,,156,159,,159,,159,,159,,,,,,,
,PUBLIK RO 8,,160,163,160,,160,,160,,,,,,,,
,,,164,167,,167,,,,,,,,,,,
,,,168,171,168,,,,,,,,,,,,
,,,172,175,,175,,175,,,,,,,,,
,Booking to SG,,176,179,176,,176,,,,,,,,,,
,Server tjp,653,180,183,,183,,,,,,,,,,,
,PUBLIC CLIENT RO 4 S2,,184,187,184,,,,,,,,,,,,
,PUBLIC CLIENT RO5 S2,,188,191,,191,,191,,191,,191,,,,,
,PUBLIC CLIENT RO 11 S1,,192,195,192,,192,,192,,192,,,,,,
,booking plabuhan roro,,196,199,,199,,,,,,,,,,,
,PUBLIC Client RO4 S2,,200,203,200,,,,,,,,,,,,
,,,204,207,,207,,207,,,,,,,,,
,,,208,211,208,,208,,,,,,,,,,
,,,212,215,,215,,,,,,,,,,,
,,,216,219,216,,,,,,,,,,,,
,,,220,223,,223,,223,,223,,,,,,,
,11700009,,224,227,224,,224,,224,,,,,,,,
,PUBLIC CLIENT RO 11 S1,,228,231,,231,,,,,,,,,,,
,RSUD RAJA AHMAD TABIB PROVINSI KEPRI,,232,235,232,,,,,,,,,,,,
,PTP 2 FTTH UBAN,104,236,239,,239,,239,,,,,,,,,
,21012023KPUKEPRI,,240,243,240,,240,,,,,,,,,,
,,,244,247,,247,,,,,,,,,,,
,server pak roni,653,248,251,248,,,,,,,,,,,,
,,,252,255,,255,,255,,255,,255,,255,,255,
