,,,,,,,,,,,,,,,
ASN Origin : 56246,,,,,,,,,,,,,,,
Router : MX204-SG2-LS-sdi-google,,,,,,,,,,,,,,,
IP Name : PT. Mayapada Solusi Dhanika,,,,,,,,,,,,,,,
103.226.118.0/24 | 56246,,,,,,,,,,,,,,,
Mask (Dec) :,,0.252,,0.248,,0.24,,0.224,,0.192,,0.128,,0,
,,/30,,/29,,/28,,/27,,/26,,/25,,/24,
,,2,,3,,4,,5,,6,,7,,8,
Alokasi,Vlan,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast
Google SDI,89,0,3,0,,0,,0,,0,,0,,0,
idle ya ges ya,,4,7,,7,,,,,,,,,,
TO Multiconnect PE0 JKT,1874,8,11,8,,,,,,,,,,,
TO Paket C JKT,1877,12,15,,15,,15,,,,,,,,
idle ya ges ya,1878,16,19,16,,16,,,,,,,,,
TO Bandung MX204,1880,20,23,,23,,,,,,,,,,
Batam via FS,2020,24,27,24,,,,,,,,,,,
Batam via Seax,2021,28,31,,31,,31,,31,,,,,,
Pinang via FS,2022,32,35,32,,32,,32,,,,,,,
Pinang via Seax,2023,36,39,,39,,,,,,,,,,
TO SDIX MX204 JKT,1873,40,43,40,,,,,,,,,,,
TO Multiconnect PE2 JKT,1875,44,47,,47,,47,,,,,,,,
idle ya ges ya,,48,51,48,,48,,,,,,,,,
SDI Connect JKT,1879,52,55,,55,,,,,,,,,,
TO Kediri MX204,1881,56,59,56,,,,,,,,,,,
to LS MULTI IX MX304,3200,60,63,,63,,63,,63,,63,,,,
to ls multi ix surabaya,3201,64,67,64,,64,,64,,64,,,,,
,,68,71,,71,,,,,,,,,,
,,72,75,72,,,,,,,,,,,
,,76,79,,79,,79,,,,,,,,
,,80,83,80,,80,,,,,,,,,
,,84,87,,87,,,,,,,,,,
,,88,91,88,,,,,,,,,,,
,,92,95,,95,,95,,95,,,,,,
,,96,99,96,,96,,96,,,,,,,
,,100,103,,103,,,,,,,,,,
,,104,107,104,,,,,,,,,,,
,,108,111,,111,,111,,,,,,,,
,,112,115,112,,112,,,,,,,,,
,,116,119,,119,,,,,,,,,,
,,120,123,120,,,,,,,,,,,
,,124,127,,127,,127,,127,,127,,127,,
,,128,131,128,,128,,128,,128,,128,,,
,,132,135,,135,,,,,,,,,,
,,136,139,136,,,,,,,,,,,
,,140,143,,143,,143,,,,,,,,
,,144,147,144,,144,,,,,,,,,
,,148,151,,151,,,,,,,,,,
,,152,155,152,,,,,,,,,,,
,,156,159,,159,,159,,159,,,,,,
,,160,163,160,,160,,160,,,,,,,
,,164,167,,167,,,,,,,,,,
,,168,171,168,,,,,,,,,,,
,,172,175,,175,,175,,,,,,,,
,,176,179,176,,176,,,,,,,,,
,,180,183,,183,,,,,,,,,,
,,184,187,184,,,,,,,,,,,
,,188,191,,191,,191,,191,,191,,,,
,,192,195,192,,192,,192,,192,,,,,
,,196,199,,199,,,,,,,,,,
,,200,203,200,,,,,,,,,,,
,,204,207,,207,,207,,,,,,,,
,,208,211,208,,208,,,,,,,,,
,,212,215,,215,,,,,,,,,,
,,216,219,216,,,,,,,,,,,
,,220,223,,223,,223,,223,,,,,,
,,224,227,224,,224,,224,,,,,,,
,,228,231,,231,,,,,,,,,,
0-pni-mx304<>ls-agg-z-ix-99-16,1053,232,233,232,,,,,,,,,,,
4-ls-google-sdi-eqx2<>ls-agg-z-ix-99-16,1054,234,235,,,,,,,,,,,,
ls-cdn-mx204 <>ls-agg-z-ix-99-16,1055,236,237,,239,,239,,,,,,,,
ls-content-campur-pe1<>ls-agg-z-ix-99-16,1056,238,239,,,,,,,,,,,,
ls-eie-sg<>ls-agg-z-ix-99-16,1057,240,241,240,,240,,,,,,,,,
ls-facebook-ntt-pe1<>ls-agg-z-ix-99-16,1058,242,243,,,,,,,,,,,,
ls-google-cloud-pe1<>ls-agg-z-ix-99-16,1059,244,245,,247,,,,,,,,,,
ls-google-jkt-pe1<>ls-agg-z-ix-99-16,1060,246,247,,,,,,,,,,,,
ls-google-sdi-pe1<>ls-agg-z-ix-99-16,1061,248,249,248,,,,,,,,,,,
ls-google-sg-pe1 <>ls-agg-z-ix-99-16,1064,250,251,,,,,,,,,,,,
ls-sgix-sg <>ls-agg-z-ix-99-16,1065,252,253,,255,,255,,255,,255,,255,,255
netflix<>ls-agg-z-ix-99-16,1066,254,255,,,,,,,,,,,,
