103.227.251.0/24 | 58552,,,,,,,,,,,,,,,
Mask (Dec) :,,0.252,,0.248,,0.24,,0.224,,0.192,,0.128,,0,
,,/30,,/29,,/28,,/27,,/26,,/25,,/24,
,,2,,3,,4,,5,,6,,7,,8,
Alokasi,Vlan,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast
dnk,383,0,3,0,,0,,0,,0,,0,,0,
fibernet,609,4,7,,7,,,,,,,,,,
gmedia,234,8,11,8,,,,,,,,,,,
jdn,2400,12,15,,15,,15,,,,,,,,
media-indocyber,354,16,19,16,,16,,,,,,,,,
Mentari,658,20,23,,23,,,,,,,,,,
pc24,702,24,27,24,,,,,,,,,,,
samudra-kilat (zeuss),424,28,31,,31,,31,,31,,,,,,
ski,182,32,35,32,,32,,32,,,,,,,
ski-as59281,182,36,39,,39,,,,,,,,,,
tachyon-migrasi,1505,40,43,40,,,,,,,,,,,
tncc-209,209,44,47,,47,,47,,,,,,,,
tncc-215,215,48,51,48,,48,,,,,,,,,
tncc-973,973,52,55,,55,,,,,,,,,,
tncc-973,974,56,59,56,,,,,,,,,,,
tncc-141667,943,60,63,,63,,63,,63,,63,,,,
tncc-141667,944,64,67,64,,64,,64,,64,,,,,
rajeg,2041,68,71,,71,,,,,,,,,,
trial maxlink 7H,2322,72,75,72,,,,,,,,,,,
greenet,,76,79,,79,,79,,,,,,,,
Yesnet,2658,80,83,80,,80,,,,,,,,,
PT Timeless Network Group,,84,87,,87,,,,,,,,,,
GBU trial,,88,91,88,,,,,,,,,,,
PT Fiber Networks Indonesia (PT Java United Service),801,92,95,,95,,95,,95,,,,,,
PT Amana Digital Nusantara,2082,96,99,96,,96,,96,,,,,,,
,,100,103,,103,,,,,,,,,,
,,104,107,104,,,,,,,,,,,
,,108,111,,111,,111,,,,,,,,
PT Patra Sinar Teknologi,2458,112,115,112,,112,,,,,,,,,
,,116,119,,119,,,,,,,,,,
,,120,123,120,,,,,,,,,,,
,,124,127,,127,,127,,127,,127,,127,,
,,128,131,128,,128,,128,,128,,128,,,
,,132,135,,135,,,,,,,,,,
,,136,139,136,,,,,,,,,,,
,,140,143,,143,,143,,,,,,,,
,,144,147,144,,144,,,,,,,,,
,,148,151,,151,,,,,,,,,,
LS SDI NAP SG,,152,153,152,,,,,,,,,,,
v1022-ls-sdi-nap-to-ls-agg-IPT-pe3 /31,1022,154,155,,,,,,,,,,,,
v1020-ls-sdi-nap-to-IPT-PE3 /31,1020,156,157,,159,,159,,159,,,,,,
kediri 58552 via icon,1828,158,159,,,,,,,,,,,,
kediri 58552 via lintas,1829,160,161,160,,160,,160,,,,,,,
LS AGG IPT to 2-Transit-SG,/31,162,163,,,,,,,,,,,,
avail,2523,164,165,,,,,,,,,,,,
v2230-LS-4-UPS-MX304-IPT-PE3,2230,166,167,,167,,,,,,,,,,
dist surabaya,1896,168,171,168,,,,,,,,,,,
idle yee,,172,175,,175,,175,,,,,,,,
IPT - SDIX,1893,176,179,176,,176,,,,,,,,,
fna,1882,180,183,,183,,,,,,,,,,
,,184,187,184,,,,,,,,,,,
ls content local,1884,188,191,,191,,191,,191,,191,,,,
ls netflix,1885,192,195,192,,192,,192,,192,,,,,
rbth-kominfo,1886,196,199,,199,,,,,,,,,,
sdi-batam,1887,200,203,200,,,,,,,,,,,
bandung,1889,204,207,,207,,207,,,,,,,,
sdi-connect,1890,208,211,208,,208,,,,,,,,,
idle,,212,215,,215,,,,,,,,,,
idle,,216,219,216,,,,,,,,,,,
idle,,220,223,,223,,223,,223,,,,,,
idle,,224,227,224,,224,,224,,,,,,,
idle,,228,231,,231,,,,,,,,,,
multiconnect pe2,1892,232,235,232,,,,,,,,,,,
IPT-PE3 <> D3,1822,236,239,,239,,239,,,,,,,,
IPT-PE3 <> LS MR,1821,240,243,240,,240,,,,,,,,,
IPT-PE3 <> SDI Ponde,1823,244,247,,247,,,,,,,,,,
IPT-PE3 <> MRO1,,248,251,248,,,,,,,,,,,
IPT-PE3 <> MRO2,,252,255,,255,,255,,255,,255,,255,,255
