,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ASN Origin : 558552,,,,,,,,,,,,,,,,,,,
Router : LS-Equinix SG1,,,,,,,,,,,,,,,,,,,
IP Name : PT Sumber Data Indonesia,,,,,,,,,,,,,,,,,,,
114.198.241.0/24,,,,,,,,,,,,,,,,,,,
Mask (Dec) :,,0.252,,0.248,,0.24,,0.224,,0.192,,0.128,,0,,,,,
,,/30,,/29,,/28,,/27,,/26,,/25,,/24,,,,,
,,2,,3,,4,,5,,6,,7,,8,,,,,
Alokasi,Vlan,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,,,,
PT Amana Digital Nusantara (Migrasi),,0,3,0,,0,,0,,0,,0,,0,,,IP Atas nama Arya Azahra Arthatama,,
PT Dini Nusa Kusuma (Migrasi),,4,7,,7,,,,,,,,,,,B,,,
PT Fiber Network Indonesia (Migrasi),,8,11,8,,,,,,,,,,,,,,,
PT Media Sarana Data / Gmedia (Migrasi),,12,15,,15,,15,,,,,,,,,,,,
PT Green Net Indonesia (Migrasi),,16,19,16,,16,,,,,,,,,,,,,
PT Java United Service / Fibernet (Migrasi),,20,23,,23,,,,,,,,,,,,,,
idle yee,,24,27,24,,,,,,,,,,,,,,,
PT Media Indo Cyber (Migrasi),,28,31,,31,,31,,31,,,,,,,,,,: Booking PTP Migrasi
PT Mega Mentari Mandiri (Migrasi),,32,35,32,,32,,32,,,,,,,,,,,
PT Pemuda Berkarya Manunggal (Migrasi),,36,39,,39,,,,,,,,,,,,,,
PT Detroit Network Indonesia,2027,40,43,40,,,,,,,,,,,,,,,
PT Remala Abadi / Tachyon (Migrasi),1505,44,47,,47,,47,,,,,,,,,,,,
PT Telekomunikasi Indonesia / TNCC (Migrasi),,48,51,48,,48,,,,,,,,,,,,,
PT Telekomunikasi Indonesia / TNCC (Migrasi),,52,55,,55,,,,,,,,,,,,,,
PT Telekomunikasi Indonesia / TNCC (Migrasi),,56,59,56,,,,,,,,,,,,,,,
PT Telekomunikasi Indonesia / TNCC (Migrasi),,60,63,,63,,63,,63,,63,,,,,,,,
PT Telekomunikasi Indonesia / TNCC (Migrasi),,64,67,64,,64,,64,,64,,,,,,,,,
PT Air Lintas Komunikasi (Migrasi),,68,71,,71,,,,,,,,,,,,,,
PT Arsya Bintang Nusantara (Migrasi),,72,75,72,,,,,,,,,,,,,,,
PT Bena Bentala Service (Migrasi),,76,79,,79,,79,,,,,,,,,,,,
PT Big Network (Migrasi),,80,83,80,,80,,,,,,,,,,,,,
PT Dharma Sarana Solusindo (Migrasi),,84,87,,87,,,,,,,,,,,,,,
PT Digital Media Telematika (Migrasi),,88,91,88,,,,,,,,,,,,,,,
PT Telemedia Dinamika Sarana / Gasnet (Migrasi),,92,95,,95,,95,,95,,,,,,,,,,
PT Graha Anugerah Sejahtera / Gastra (Migrasi),,96,99,96,,96,,96,,,,,,,,,,,
PT Juara Network (Migrasi),,100,103,,103,,,,,,,,,,,,,,
PT Lima Menara Bintang (MIgrasi),,104,107,104,,,,,,,,,,,,,,,
PT Mahawira Nusantara Group (Migrasi),,108,111,,111,,111,,,,,,,,,,,,
PT Solusi Aksesindo Pratama / Netzap (Migrasi),,112,115,112,,112,,,,,,,,,,,,,
PT Nusa Data Multimedia (Migrasi),,116,119,,119,,,,,,,,,,,,,,
PT Petro One Indonesia (Migrasi),,120,123,120,,,,,,,,,,,,,,,
PT Profesional Internet Indonesia / Pronet (Migrasi),,124,127,,127,,127,,127,,127,,127,,,,,,
PT Solo Jala Buana / Solonet (Migrasi),,128,131,128,,128,,128,,128,,128,,,,,,,
PT Lentera Abadi Solusinet (Migrasi),,132,135,,135,,,,,,,,,,,,,,
PT Laxo Global Akses AS38524 (Migrasi),,136,139,136,,,,,,,,,,,,,,,
PT Laxo Global Akses AS38524 (Migrasi),,140,143,,143,,143,,,,,,,,,,,,
PT Tower Bersama Group (Migrasi),,144,147,144,,144,,,,,,,,,,,,,
PC24 ,,148,151,,151,,,,,,,,,,,,,,
PT Arjuna Lancar Teknologi,,152,155,152,,,,,,,,,,,,,,,
Laxo Persada Transit,2056,156,159,,159,,159,,159,,,,,,,,,,
idle yee,,160,163,160,,160,,160,,,,,,,,,,,
ATHATVA HE COGENT ONLY AS152442,2093,164,167,,167,,,,,,,,,,,,,,
PT Erajaya Telco ,2999,168,171,168,,,,,,,,,,,,,,,
PT Pratama Hasta,2381,172,175,,175,,175,,,,,,,,,,,,
PT Nesta Indo Media,2434,176,179,176,,176,,,,,,,,,,,,,
idle yee,,180,183,,183,,,,,,,,,,,,,,
PT Erajaya Telco /29,2999,184,187,184,,,,,,,,,,,,,,,
,,188,191,,191,,191,,191,,191,,,,,,,,
Kuantum ,2990,192,195,192,,192,,192,,192,,,,,,,Note : bekasan dari Data Arta Sedaya dikarenakan cancel,,
PT Java Digital Nusantara HE dan Cogent Olny,2401,196,199,,199,,,,,,,,,,,,,,
CV Anindisa,2914,200,203,200,,,,,,,,,,,,,,,
Book Arthavar,2673,204,207,,207,,207,,,,,,,,,,,,
Timeplus,2559,208,211,208,,208,,,,,,,,,,,,,
book mahawira,2045,212,215,,215,,,,,,,,,,,,,,
idle yee,,216,219,216,,,,,,,,,,,,,,,
idle yee,,220,223,,223,,223,,223,,,,,,,,,,
idle yee,,224,227,224,,224,,224,,,,,,,,,,,
PT Haci Telekomunikasi Indonesia,2674,228,231,,231,,,,,,,,,,,,,,
ls he cogent <> mro1,/31,232,233,232,,,,,,,,,,,,,,,
zetta transit 2 pe0 to MRO 2,/31,234,235,,,,,,,,,,,,,,,,
ls zetta transit mx204 <> MRO 1,327,236,237,,,,,,,,,,,,,,,,
ls zetta transit mx204 <> ls nap sdi,330,238,239,,239,,239,,,,,,,,,,,,
LS Zetta-Transit TO IPT-SG2,,240,241,240,,240,,,,,,,,,,,,,
LS Zetta-Transit TO LS SDI NAP,2888,242,243,,,,,,,,,,,,,,,,
ls zetta transit to ls google sdi pe1,3046,244,245,,247,,,,,,,,,,,,,,
ls zetta transit google sg ,3054,246,247,,,,,,,,,,,,,,,,
ls sdi nap jkt <> ls zetta he cogent only,679,248,249,248,,,,,,,,,,,,,,,
zetta transit to ls google jkt pe1,1244,250,251,,,,,,,,,,,,,,,,
ls-PNI-SG2 <> cloudflare 100g,2070,252,253,,255,,255,,255,,255,,255,,255,,,,
,,254,255,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,252,255,,255,,255,,255,,255,,255,,255,,,
