,,,,,,,,,,,,,,,,,
ASN Origin : 56246,,,,,,,,,,,,,,,,,
Router :  mx204 kediri,,,,,,,,,,,,,,,,,
IP Name : PT Sumber Data Indonesia,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
114.198.242.0/24,,,,,,,,,,,,,,,,,
Mask (Dec) :,,0.252,,0.248,,0.24,,0.224,,0.192,,0.128,,0,,,
,,/30,,/29,,/28,,/27,,/26,,/25,,/24,,,
,,2,,3,,4,,5,,6,,7,,8,,,
Alokasi,Vlan,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,,
nanang budi santoso,1335,0,3,0,,0,,0,,0,,0,,0,,,IP Atas nama Arya Azahra Arthatama
Dhayu Arisona site wates,1149,4,7,,7,,,,,,,,,,,B,
Kompetisi Akademik 2025 ,1151,8,11,8,,,,,,,,,,,,,
SMP N 3 Wates,1152,12,15,,15,,15,,,,,,,,,,
Ali Muhsin,1330,16,19,16,,16,,,,,,,,,,,
Diskominfo Nganjuk,2648,20,23,,23,,,,,,,,,,,,
Joko Hendro Purnomo Site 2,2650,24,27,24,,,,,,,,,,,,,
Sutanto,2651,28,31,,31,,31,,31,,,,,,,,
Agus Hariyono,2330,32,35,32,,32,,32,,,,,,,,,
Ilham Zulvia Rinaldy,2652,36,39,,39,,,,,,,,,,,,
Dinas Komunikasi dan Informatika Kota Kediri BOD 04-11,2658,40,43,40,,,,,,,,,,,,,
,,44,47,,47,,47,,,,,,,,,,
,,48,51,48,,48,,,,,,,,,,,
Kediri School Contest XVII GenZverse Literaction,,52,55,,55,,,,,,,,,,,,
AISCO Cafe,2581,56,59,56,,,,,,,,,,,,,
suharmadji new,1351,60,63,,63,,63,,63,,63,,,,,,
suharmadji 2,1352,64,67,64,,64,,64,,64,,,,,,,
CSR Diskominfo Kediri,2659,68,71,,71,,,,,,,,,,,,
UPTD-SMPN1Wates,,72,75,72,,,,,,,,,,,,,
SDI-NET-Purba,,,,,79,,79,,,,,,,,,,
muhammad-salim,2570,80,83,80,,80,,,,,,,,,,,
Angkringan Paeng,2495,84,87,,87,,,,,,,,,,,,
v2806-colo-gunadinew,2806,88,91,88,,,,,,,,,,,,,
purba,,,,,95,,95,,95,,,,,,,,
downlink gunadi,,96,99,96,,96,,96,,,,,,,,,
SD-AISYAH NGANJUK ,3033,100,103,,103,,,,,,,,,,,,
 CV Universal Media Jaya,2949,104,107,104,,,,,,,,,,,,,
 CV Universal Media Jaya,,108,111,,111,,111,,,,,,,,,,
,,112,115,112,,112,,,,,,,,,,,
Muhtar Marzuqi downlane  Gunadi,,116,119,,119,,,,,,,,,,,,
ls-zetta-ix,lt,120,121,120,,,,,,,,,,,,,
main rouuter kediri - to cdn intrologi,/31,122,123,,,,,,,,,,,,,,
arif budy karangkates,2395,124,127,,127,,127,,127,,127,,127,,,,
SMKIslamKunjang,,128,131,128,,128,,128,,128,,128,,,,,
PT Gita Telekomunikasi Indonesia,2785,132,135,,135,,,,,,,,,,,,
Dua putra dewa site 2,2892,136,139,136,,,,,,,,,,,,,
YayasanGuppi,,140,143,,143,,143,,,,,,,,,,
hendra penambahan ip /29 vlan id 1901,,144,147,144,,144,,,,,,,,,,,
,,148,151,,151,,,,,,,,,,,,
PT Asia Global Surya site 2,1323,152,155,152,,,,,,,,,,,,,
,,156,159,,159,,159,,159,,,,,,,,
 PT Dua Putra Dewa,,160,163,160,,160,,160,,,,,,,,,
,,164,167,,167,,,,,,,,,,,,
SMK  Satria Bhakti Nganjuk,1324,168,171,168,,,,,,,,,,,,,
Stikes Satria Bhakti Nganjuk,1328,172,175,,175,,175,,,,,,,,,,
,,176,179,176,,176,,,,,,,,,,,
Trisapto Juliantoro,1337,180,183,,183,,,,,,,,,,,,
CV Universal Media Jaya,,184,187,184,,,,,,,,,,,,,
,,188,191,,191,,191,,191,,191,,,,,,
,,192,195,192,,192,,192,,192,,,,,,,
,,196,199,,199,,,,,,,,,,,,
,,200,203,200,,,,,,,,,,,,,
,,204,207,,207,,207,,,,,,,,,,
,,208,211,208,,208,,,,,,,,,,,
,,212,215,,215,,,,,,,,,,,,
,,216,219,216,,,,,,,,,,,,,
,,220,223,,223,,223,,223,,,,,,,,
,,224,227,224,,224,,224,,,,,,,,,
,,228,231,,231,,,,,,,,,,,,
,,232,235,232,,,,,,,,,,,,,
,,236,239,,239,,239,,,,,,,,,,
,,240,243,240,,240,,,,,,,,,,,
kediri to ls google jkt pe1,/31 1237,244,245,,247,,,,,,,,,,,,
Google-sdi-pe1,1418,246,247,,,,,,,,,,,,,,
LS NCIX PE1,,248,249,248,,,,,,,,,,,,,
google sdi pe2,,250,251,,,,,,,,,,,,,,
ro mgmt mkt,3028,252,255,,255,,255,,255,,255,,255,,255,,
,,,,,,,,,,,,,,,,,
,,,252,255,,255,,255,,255,,255,,255,,255,
