,,,,,,,,,,,,,,,,,,
ASN Origin : 58389,,,,,,,,,,,,,,,,,,
Router : ls sditransit sg,,,,,,,,,,,,,,,,,,
IP Name : PT Sumber Data Indonesia,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
114.198.243.0/24,,,,,,,,,,,,,,,,,,
Mask (Dec) :,,0.252,,0.248,,0.24,,0.224,,0.192,,0.128,,0,,,,
,,/30,,/29,,/28,,/27,,/26,,/25,,/24,,,,
,,2,,3,,4,,5,,6,,7,,8,,,,
Alokasi,Vlan,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,,,
ls google pe1 zetta connect,3044,0,1,0,,0,,0,,0,,0,,0,,,,
ls google sg ,3053,2,3,,,,,,,,,,,,,,,
zetta-connect 2 to ls nap sdi,2571,4,5,,,,,,,,,,,,,B,,
zetta connect 2 99.14 to MRO2,2572,6,7,,7,,,,,,,,,,,,,
zetta connect 2 99.14 to ls equinix,2573,8,9,8,,,,,,,,,,,,,,
zetta konek 2 99.14 to ls sgix,2575,10,11,,,,,,,,,,,,,,,
zeta konek2 to ls google sdi sg,2576,12,13,,15,,15,,,,,,,,,,,
IDLE YA GES YA,,14,15,,,,,,,,,,,,,,,
zeta konek 2 to ls google sg pe1,2578,16,17,16,,16,,,,,,,,,,,,
zetta konek 2 to ls google sdi pe1,2579,18,19,,,,,,,,,,,,,,,
zetta konek 2 to ls cdn,2580,20,21,,,,,,,,,,,,,,,
 0-pni-mx304,,22,23,,23,,,,,,,,,,,,,
zetta-connect to ls google jkt pe1,,24,25,24,,,,,,,,,,,,,,
zc 2 to ls google jkt pe1,,26,27,,,,,,,,,,,,,,,
relokasi arthaloka,2076,28,31,,31,,31,,31,,,,,,,,,
ex PT Artha Lintas Data Mandiri,,32,35,32,,32,,32,,,,,,,,,,
PT Solusindo Basis Teknologi,,36,39,,39,,,,,,,,,,,,,
ls fna,,40,41,40,,,,,,,,,,,,,,
0-pni-mx304,,42,43,,,,,,,,,,,,,,,
1-pni-mx304,,44,45,,,,,,,,,,,,,,,
MRO-Equinix,,46,47,,,,,,,,,,,,,,,
ggc-new-cluster-dps1,,48,49,,,,,,,,,,,,,,,
ls-akamai,,50,51,,,,,,,,,,,,,,,
ls-content-local,,52,53,,,,,,,,,,,,,,,
ls-equinix-sg1,,54,55,,,,,,,,,,,,,,,
ls-google-cloud,,56,57,,,,,,,,,,,,,,,
ls-google-pe1,,58,59,,,,,,,,,,,,,,,
ls-netflix,,60,61,,,,,,,,,,,,,,,
ls-nttix,,62,63,,,,,,,,,,,,,,,
ls-sgix-sg-mx204-new,,64,65,,,,,,,,,,,,,,,
ls-transit-sg-2,,66,67,,,,,,,,,,,,,,,
mro-2-equinix-sg,,68,69,,,,,,,,,,,,,,,
to ls nap,,70,71,,47,,47,,,,,,,,,,,
PT Argon Internet Amariqindo (Migrasi),,72,75,72,,,,,,,,,,,,,,LS Multi Connect MX304
PT Gading Bhakti Utama (Migrasi),,76,79,,79,,79,,,,,,,,,,,
PT Subnet Data Nusantara (Migrasi),,80,83,80,,80,,,,,,,,,,,,
PT Inovasi Teknologi Pintar (Migrasi),,84,87,,87,,,,,,,,,,,,,
PT Laxo Global Akses (Migrasi),,88,91,88,,,,,,,,,,,,,,
,,92,95,,95,,95,,95,,,,,,,,,
PT Solusindo Bintang Pratama (Migrasi),,96,99,96,,96,,96,,,,,,,,,,
PT Telemedia Komunikasi Pratama Backup (Migrasi),,100,103,,103,,,,,,,,,,,,,
PT Insan Sarana Telematika Isatnet (Migrasi),,104,107,104,,,,,,,,,,,,,,
PT Golden Network Nusantara (Migrasi),,108,111,,111,,111,,,,,,,,,,,
PT Pratama Hasta Utama Solusindo (Migrasi),,112,115,112,,112,,,,,,,,,,,,
PT PC24 Telekomunikasi Indonesia(Migrasi),,116,119,,119,,,,,,,,,,,,,
idle yee,,120,123,120,,,,,,,,,,,,,,
PT Asri Global Investama (Migarsi),,124,127,,127,,127,,127,,127,,127,,,,,
PT Inter Medialink Solusi (Migrasi),,128,131,128,,128,,128,,128,,128,,,,,,
PT Loveika Host Nusantara (Migrasi),,132,135,,135,,,,,,,,,,,,,
PT Sandya Sistem Indonesia (Migrasi),,136,139,136,,,,,,,,,,,,,,
PT Telemedia Komunikasi Pratam (Migrasi),,140,143,,143,,143,,,,,,,,,,,
PT Linea Global Teknologi (Migrasi),,144,147,144,,144,,,,,,,,,,,,
idle yee,,148,151,,151,,,,,,,,,,,,,
idle yee,,152,155,152,,,,,,,,,,,,,,
PT Global Teknologi Teraindo (Migrasi),,156,159,,159,,159,,159,,,,,,,,,
idle yee,,160,163,160,,160,,160,,,,,,,,,,
PT Estiko Ramanda (Migrasi),,164,167,,167,,,,,,,,,,,,,
PT Arka Data Prima (Migrasi),,168,171,168,,,,,,,,,,,,,,Multi connect PE0
PT Arsa Work Indonesia (Migrasi),,172,175,,175,,175,,,,,,,,,,,
PT Bintang Mataram Teknologi (Migrasi),,176,179,176,,176,,,,,,,,,,,,
PT Centrin Online Prima (Migrasi),,180,183,,183,,,,,,,,,,,,,
PT Core Mediatech / Dnet (Migrasi),,184,187,184,,,,,,,,,,,,,,
PT Fakta Jabbar Industri (Migrasi),,188,191,,191,,191,,191,,191,,,,,,,
PT Encodelight /Gecko (Migrasi),,192,195,192,,192,,192,,192,,,,,,,,
IDLE YA GES YA,,196,199,,199,,,,,,,,,,,,,
PT Hawk Teknologi Semesta (Migrasi),,200,203,200,,,,,,,,,,,,,,
PT IOSYS Media Data (Migrasi),,204,207,,207,,207,,,,,,,,,,,
PT Cikarang Cyberindo / Jetflash (Migrasi),,208,211,208,,208,,,,,,,,,,,,
PT Jaringanku Saranan Nusantara (Migrasi),,212,215,,215,,,,,,,,,,,,,
PT Lintas Jaringan Nusantara (Migrasi),,216,219,216,,,,,,,,,,,,,,
PT Lintas Jaringan Nusantara backup (Migrasi),,220,223,,223,,223,,223,,,,,,,,,
PT Mitra Akses Global / Magnet / BATI (Migrasi),,224,227,224,,224,,224,,,,,,,,,,
PT Master Start Network (Migrasi),,228,231,,231,,,,,,,,,,,,,
PT Melvar Lintas Nusa (Migrasi),,232,235,232,,,,,,,,,,,,,,
PT Natha Buana Indonesia (Migrasi),,236,239,,239,,239,,,,,,,,,,,
PT Paket Data Andal (Migrasi),,240,243,240,,240,,,,,,,,,,,,
PT Sandya Sistem Indonesia (Migrasi),,244,247,,247,,,,,,,,,,,,,
PT Skyline Indonesia (Migrasi),,248,251,248,,,,,,,,,,,,,,
PT Varnion Technology Indonesia (Migrasi),,252,255,,255,,255,,255,,255,,255,,255,,,
,,254,255,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,252,255,,255,,255,,255,,255,,255,,255,,
