,,,,,,,,,,,,,,,,,
114.198.244.0/24,,,,,,,,,,,,,,,,,
Mask (Dec) :,,0.252,,0.248,,0.24,,0.224,,0.192,,0.128,,0,,,
,,/30,,/29,,/28,,/27,,/26,,/25,,/24,,,
,,2,,3,,4,,5,,6,,7,,8,,,
Alokasi,Vlan,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,,
SERVER KEDIRI,3209,0,3,0,,0,,0,,0,,0,,0,,,IP Atas nama Arya Azahra Arthatama
,,4,7,,7,,,,,,,,,,,B,
distribusi RO-1 ,,8,11,8,,,,,,,,,,,,,
distribusi RO-2,,12,15,,15,,15,,,,,,,,,,
distribusi RO-3,,16,19,16,,16,,,,,,,,,,,
,,20,23,,23,,,,,,,,,,,,
gunadi,,24,27,24,,,,,,,,,,,,,
,,28,31,,31,,31,,31,,,,,,,,
Gunadi,,32,35,32,,32,,32,,,,,,,,,
,,36,39,,39,,,,,,,,,,,,
Polres Kediri Kota-HUT,,40,43,40,,,,,,,,,,,,,
TIO-NGANJUK,,44,47,,47,,47,,,,,,,,,,
JOKO,1346,48,51,48,,48,,,,,,,,,,,
 Stikes Pamenang Kediri ,1383,52,55,,55,,,,,,,,,,,,
CV Doa Mama Net site Pratama Edi,,56,59,56,,,,,,,,,,,,,
IP DISTRIBUSI RO-2,1332,60,63,,63,,63,,63,,63,,,,,,
grand surya,1333,64,67,64,,64,,64,,64,,,,,,,
,,68,71,,71,,,,,,,,,,,,
,,72,75,72,,,,,,,,,,,,,
,,76,79,,79,,79,,,,,,,,,,
PTP PE1 - Kediri,622,80,83,80,,80,,,,,,,,,,,
PTP Kediri - Nganjuk,3030,84,87,,87,,,,,,,,,,,,
Surya raya | Hotel Merdeka,,88,91,88,,,,,,,,,,,,,
,,92,95,,95,,95,,95,,,,,,,,
v1191-ptp-kediri-ls-agg-pe3,/31,96,97,,,,,,,,,,,,,,
v1192-ptp-kediri-ls-agg-pe3,/31,98,99,96,,96,,96,,,,,,,,,
Khusnul Khotimah,2272,100,103,,103,,,,,,,,,,,,
Server,2608,104,107,104,,,,,,,,,,,,,
server,2608,108,111,,111,,111,,,,,,,,,,
wardoyo,2195,112,115,112,,112,,,,,,,,,,,
ardinata,1335,116,119,,119,,,,,,,,,,,,
Gunadi NEW,1371,120,123,120,,,,,,,,,,,,,
ptp ro core - ro corporate,3029,124,127,,,,127,,127,,127,,127,,,,
Purba SDI NET,1338,128,131,128,,128,,128,,128,,128,,,,,
IMAM,1344,132,135,,135,,,,,,,,,,,,
SDI-NET FAHMI (Bumdes Mandiri Sejahtera Desa Titik),1386,136,139,136,,,,,,,,,,,,,
 Yayasan Bina Insani Kediri,2196,140,143,,143,,143,,,,,,,,,,
"SDINET WATES Achmad Subagiyono
",,144,147,144,,144,,,,,,,,,,,
,,148,151,,151,,,,,,,,,,,,
SDI-Net-Agus Subagyo,1339,152,155,152,,,,,,,,,,,,,
SDINET-Purwanto,,156,159,,159,,159,,159,,,,,,,,
10000528Imam Wahyudi,,160,163,,,,,,,,,,,,,,
Kantor Radar - Kediri,1397,164,167,,,,,,,,,,,,,,
10000530Moch Lukman Thahir site sidomulyo,1345,168,171,168,,,,,,,,,,,,,
Benny | NGANJUK,105,172,175,,175,,175,,,,,,,,,,
 Wahyu Nurindahsari | NGANJUK,104,176,179,176,,176,,,,,,,,,,,
wahyu ,100,180,183,,183,,,,,,,,,,,,
peer nganjuk ,3030,184,187,184,,,,,,,,,,,,,
PTP-FNA,178,188,191,,191,,191,,191,,191,,,,,,
FNA,178,192,195,192,,192,,192,,192,,,,,,,
,,196,199,,199,,,,,,,,,,,,
,,200,203,200,,,,,,,,,,,,,
,,204,207,,207,,207,,,,,,,,,,
,,208,211,208,,208,,,,,,,,,,,
,,212,215,,215,,,,,,,,,,,,
,,216,219,216,,,,,,,,,,,,,
,,220,223,,223,,223,,223,,,,,,,,
,,224,227,224,,224,,224,,,,,,,,,
Samsul Hadi,,228,231,,231,,,,,,,,,,,,
,,232,235,232,,,,,,,,,,,,,
,,236,239,,239,,239,,,,,,,,,,
Bagas,2195,240,243,240,,240,,,,,,,,,,,
,,244,247,,247,,,,,,,,,,,,
,,248,251,248,,,,,,,,,,,,,
,,252,255,,255,,255,,255,,255,,255,,255,,
,,,,,,,,,,,,,,,,,
,,,252,255,,255,,255,,255,,255,,255,,255,
