D,,,,,,,,,,,,,,,,,,
114.198.245.0/24,,,,,,,,,,,,,,,,,,
Mask (Dec) :,,0.252,,0.248,,0.24,,0.224,,0.192,,0.128,,0,,,,
,,/30,,/29,,/28,,/27,,/26,,/25,,/24,,,,
,,2,,3,,4,,5,,6,,7,,8,,,,
Alokasi,Vlan,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,,,
IPT960,1651,0,1,0,,0,,0,,0,,0,,0,,,IP Atas nama Arya Azahra Arthatama,
Equinix,1652,2,3,,,,,,,,,,,,,,,
Akamai PE1,1653,4,5,,7,,,,,,,,,,,B,,
Google Equinix,1654,6,7,,,,,,,,,,,,,,,
Google SG PE1,1655,8,9,8,,,,,,,,,,,,,,
Google Cloud PE1,1656,10,11,,,,,,,,,,,,,,,
Content Campur PE1,1657,12,13,,15,,15,,,,,,,,,,,
Facebook Peering PE1,1658,14,15,,,,,,,,,,,,,,,
FNA PE1,1659,16,17,16,,16,,,,,,,,,,,,
Netflix PE1,1660,18,19,,,,,,,,,,,,,,,
NTT IX PE1,1661,20,21,,23,,,,,,,,,,,,,
OIXP,1662,22,23,,,,,,,,,,,,,,,
,,24,27,24,,,,,,,,,,,,,,
,,28,31,,31,,31,,31,,,,,,,,,
,,32,35,32,,32,,32,,,,,,,,,,
,,,,,39,,,,,,,,,,,,,
DIst D3,1676,40,43,40,,,,,,,,,,,,,,
,,44,47,,47,,47,,,,,,,,,,,
Kantor RK31 & RK9,1677,48,51,48,,48,,,,,,,,,,,,
,,52,55,,55,,,,,,,,,,,,,
,,56,59,56,,,,,,,,,,,,,,
remote oixp-new,1678,60,63,,63,,63,,63,,63,,,,,,,
PT Silfarona Perdana site Gedung Tekno BIN,,64,67,64,,64,,64,,64,,,,,,,,
Tachyon dns,,68,71,,71,,,,,,,,,,,,,
,,72,75,72,,,,,,,,,,,,,,
,,76,79,,79,,79,,,,,,,,,,,
Kantor RK31 & RK9,1092,80,83,80,,80,,,,,,,,,,,,
ex satkomlek v2120,,84,87,,87,,,,,,,,,,,,,
v1134-Kantor-Luwuk,1134,88,91,88,,,,,,,,,,,,,,
LS IIX CCR APJII,1220,92,95,,95,,95,,95,,,,,,,,,114.198.245.125
yayasan santo,1112,96,99,96,,96,,96,,,,,,,,,,
luwuk,1125,100,103,,103,,,,,,,,,,,,,
remote ipt 2,1476,104,107,104,,,,,,,,,,,,,,
,2454,108,111,,111,,111,,,,,,,,,,,
remote skw,1677,112,115,112,,112,,,,,,,,,,,,
,,116,119,,119,,,,,,,,,,,,,
ex satkomlek v2120,,120,123,120,,,,,,,,,,,,,,
MKI-BIN-D6,754,124,127,,127,,127,,127,,127,,127,,,,,
,,128,131,128,,128,,128,,128,,128,,,,,,
,,132,135,,135,,,,,,,,,,,,,
PT FTTH Net site Batu Licin,2778,136,139,136,,,,,,,,,,,,,,
,2829,140,143,,143,,143,,,,,,,,,,,
sneakers bekasi,2081,144,147,144,,144,,,,,,,,,,,,
pt trimedia aruna sejahtera,2479,148,151,,151,,,,,,,,,,,,,
Internet Kantor Luwuk,1134,152,155,152,,,,,,,,,,,,,,
Embassy of Phillipines Jakarta,2855,156,159,,159,,159,,159,,,,,,,,,
 Embassy of Phillipines Jakarta /29,2855,160,163,160,,160,,160,,,,,,,,,,
,,164,167,,167,,,,,,,,,,,,,
Snekears cab Depok,2268,168,171,168,,,,,,,,,,,,,,
Snekears cab Cab. Prapanca Raya,,172,175,,175,,175,,,,,,,,,,,
Snekears cab. Cipete,2234,176,179,176,,176,,,,,,,,,,,,
CV Doa Mama Net,1997,180,183,,183,,,,,,,,,,,,,
luwuk 1440 ,,184,187,184,,,,,,,,,,,,,,
luwuk 1441,,188,191,,191,,191,,191,,191,,,,,,,
Dist RO LUWUK,,192,195,192,,192,,192,,192,,,,,,,,
,,196,199,,199,,,,,,,,,,,,,
PTP LS Google SDI PE1,,200,201,200,,,,,,,,,,,,,,
,,202,203,,,,,,,,,,,,,,,
LS 0-PNI-304,/31,204,205,,207,,207,,,,,,,,,,,
v1815-mro2-ls-mr,/31,206,207,,,,,,,,,,,,,,,
Diskominfo luwuk,1125,208,211,208,,208,,,,,,,,,,,,
RO Bupati Luwuk,,212,215,,215,,,,,,,,,,,,,
Dist Server Bupati,,216,219,216,,,,,,,,,,,,,,
,,220,223,,223,,223,,223,,,,,,,,,
Server,608,224,227,224,,224,,224,,,,,,,,,,
,,228,231,,231,,,,,,,,,,,,,
PTP DNA,,232,235,232,,,,,,,,,,,,,,
,,236,239,,239,,239,,,,,,,,,,,
Server,608,240,243,240,,240,,,,,,,,,,,,
,,244,247,,247,,,,,,,,,,,,,
,,248,251,248,,,,,,,,,,,,,,
,,252,255,,255,,255,,255,,255,,255,,255,,,
,,,,,,,,,,,,,,,,,,
,,,252,255,,255,,255,,255,,255,,255,,255,,
