,,,,,,,,,,,,,,,,,
ex ls sgix mx204 114.198.247.0/24,,,,,,,,,,,,,,,,,
Mask (Dec) :,,0.252,,0.248,,0.24,,0.224,,0.192,,0.128,,0,,,
,,/30,,/29,,/28,,/27,,/26,,/25,,/24,,,
,,2,,3,,4,,5,,6,,7,,8,,,
Alokasi,Vlan,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,,
,,0,3,0,,,,,,0,,0,,0,,,IP Atas nama Arya Azahra Arthatama
,,4,7,,7,,,,,,,,,,,B,
,,8,11,8,,,,,,,,,,,,,
Indienet solution,2792,12,15,,15,,,,,,,,,,,,
PT Digitech Indo Netra,2791,16,19,16,,,,,,,,,,,,,
PT Putra Mahawira Nusantara,2789,20,23,,23,,,,,,,,,,,,
PT Netpro Akses Solusi,2785,24,27,24,,,,,,,,,,,,,
asri global tunel ,2946,28,31,,31,,,,,,,,,,,,
Jaringan Prima Indonesia,2122,32,35,32,,,,,,,,,,,,,
Axindo,2334,36,39,,39,,,,,,,,,,,,
Asri Global,2945,40,43,40,,,,,,,,,,,,,
Cipta-TP,2066,44,47,,47,,47,,,,,,,,,,
Cipta-TP,2069,48,51,48,,48,,,,,,,,,,,
Borneo,2084,52,55,,55,,,,,,,,,,,,
Inovasi Digital,2273,56,59,56,,,,,,,,,,,,,
idle yee,,60,63,,63,,63,,63,,63,,,,,,
JPI,2940,64,67,64,,64,,64,,64,,,,,,,
Network bumi saridin,2391,68,71,,71,,,,,,,,,,,,
NJP,2930,72,75,72,,,,,,,,,,,,,
sinyalta,2490,76,79,,79,,79,,,,,,,,,,
idle yee,,80,83,80,,80,,,,,,,,,,,
Reload Media,1401,84,87,,87,,,,,,,,,,,,
Runnet,1261,88,91,88,,,,,,,,,,,,,
Sokka Tama,2108,92,95,,95,,95,,95,,,,,,,,
idle yee,,96,99,96,,96,,96,,,,,,,,,
ARL Network,1933,100,103,,103,,,,,,,,,,,,
ARL Network,2072,104,107,104,,,,,,,,,,,,,
Sugih Global,2194,108,111,,111,,111,,,,,,,,,,
Trira Inti,2431,112,115,112,,112,,,,,,,,,,,
Multi Tera,2448,116,119,,119,,,,,,,,,,,,
Lintas Data Buana,2449,120,123,120,,,,,,,,,,,,,
Axindo Intinitas,2450,124,127,,127,,127,,127,,127,,127,,,,
PT Rara Indonet Solution,2453,128,131,128,,128,,128,,128,,128,,,,,
Idamaris Fedora,2456,132,135,,135,,,,,,,,,,,,
Satya Yudistira,2660,136,139,136,,,,,,,,,,,,,
PT. Sentrya Teknologi Putrawan,2989,140,143,,143,,143,,,,,,,,,,
PT Global Technology Borneo,2084,144,147,144,,144,,,,,,,,,,,
PT Runnet Media ,2717,148,151,,151,,,,,,,,,,,,
Satya Yudistira (statikan),2660,152,155,152,,,,,,,,,,,,,
PT Fantasi Mahawira Nusantara,2784,156,159,,159,,159,,159,,,,,,,,
PT Artha Indo Data,2301,160,163,160,,160,,160,,,,,,,,,
PT Debama Net Nusantara,2025,164,167,,167,,,,,,,,,,,,
PT Graha Intermedia Net,1861,168,171,168,,,,,,,,,,,,,
book Jaringan Nusa Evo Telematika,3666,172,175,,175,,175,,,,,,,,,,
PT Indienet Solution Network,2282,176,179,176,,176,,,,,,,,,,,
PT Alpha Medianusa Solusindo,2109,180,183,,183,,,,,,,,,,,,
buana data media,2457,184,187,184,,,,,,,,,,,,,
PT Ada Hikmahnya Tecnology ,2782,188,191,,191,,191,,191,,191,,,,,,
PT Timur Telekomunikasi,2783,192,195,192,,192,,192,,192,,,,,,,
Jaringanku sarana nusantara PATI ,2780,196,199,,199,,,,,,,,,,,,
ls-sgix-mx204-sg,/31,200,201,200,,,,,,,,,,,,,
equinix,/31,202,203,,,,,,,,,,,,,,
mro-2-equinix-sg,/31,204,205,,207,,207,,,,,,,,,,
MRO-Equinix,/31,206,207,,,,,,,,,,,,,,
4-sdi-google,/31,208,209,208,,208,,,,,,,,,,,
ls-nttix-pe1,/31,210,211,,,,,,,,,,,,,,
ls-google-pe1,/31,212,213,,215,,,,,,,,,,,,
fna-pe1,/31,214,215,,,,,,,,,,,,,,
netflix-pe1,/31,216,217,216,,,,,,,,,,,,,
fb-ntt,/31,218,219,,,,,,,,,,,,,,
ls-google-sdi-pe1,/31,220,221,,223,,223,,223,,,,,,,,
ls-ncix-pe1,/31,222,223,,,,,,,,,,,,,,
ls-google-cloud,/31,224,225,224,,224,,224,,,,,,,,,
ls-content-local,/31,226,227,,,,,,,,,,,,,,
0-pni-mx304,/31,228,229,,231,,,,,,,,,,,,
multi-ix-ggc,/31,230,231,,,,,,,,,,,,,,
local-exchange,/31,232,233,232,,,,,,,,,,,,,
LS-SDI-NAP,/31,234,235,,,,,,,,,,,,,,
sdiix ambil akamai,/31,236,237,,239,,239,,,,,,,,,,
ls cdn <> zetta konek plus,/31,238,239,,,,,,,,,,,,,,
PT Rara Indonet Solution,,240,243,240,,240,,,,,,,,,,,
PT Putra Sinar Mutiara,/30,244,247,,247,,,,,,,,,,,,
zetta connect plus to ls google jkt pe1,/31 1234,248,249,248,,,,,,,,,,,,,
,/31,250,251,,,,,,,,,,,,,,
,,252,255,,255,,255,,255,,255,,255,,255,,
,,,,,,,,,,,,,,,,,
,,,252,255,,255,,255,,255,,255,,255,,255,
