sh,,,,,,,,,,,,,,,,,
,IP Blok 116.68.161.0/24,,,,,,,,,,,,,,,,
,Mask (Dec) :,,0.252,,0.248,,0.24,,0.224,,0.192,,0.128,,0,,
,,,/30,,/29,,/28,,/27,,/26,,/25,,/24,,
,,,2,,3,,4,,5,,6,,7,,8,,
,Alokasi,Vlan,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,
,IDTL ,411,0,3,0,,0,,0,,0,,0,,0,,
,,,4,7,,7,,,,,,,,,,,B
,,1323,8,11,8,,,,,,,,,,,,
,KANTOR BATAM,1388,12,15,,15,,15,,,,,,,,,
,INTEK MKONTEN,,16,19,16,,16,,,,,,,,,,
,Booking Filltech,,20,23,,23,,,,,,,,,,,
,Dist batam,411,24,27,24,,,,,,,,,,,,
,,,28,31,,31,,31,,31,,,,,,,
,PTP MX204 BATAM to LS CIX BATAM,,32,35,32,,32,,32,,,,,,,,
,,,36,39,,39,,,,,,,,,,,
,SBP Batam,894,40,43,40,,,,,,,,,,,,
,,,44,47,,47,,47,,,,,,,,,
,ex PT Agsa Global Netwrok,1255,48,51,48,,48,,,,,,,,,,
,Server speedtest,652,52,55,,55,,,,,,,,,,,
,Server DNS Batam,,56,59,56,,,,,,,,,,,,
,,,60,63,,63,,63,,63,,63,,,,,
,GGC Batam (ptremala-jog2) /26,et1,64,67,64,,64,,64,,64,,,,,,
,,,68,71,,71,,,,,,,,,,,
,,,72,75,72,,,,,,,,,,,,
,,,76,79,,79,,79,,,,,,,,,
,,,80,83,80,,80,,,,,,,,,,
,,,84,87,,87,,,,,,,,,,,
,,,88,91,88,,,,,,,,,,,,
,,,92,95,,95,,95,,95,,,,,,,
,,,96,99,96,,96,,96,,,,,,,,
,,,100,103,,103,,,,,,,,,,,
,,,104,107,104,,,,,,,,,,,,
,,,108,111,,111,,111,,,,,,,,,
,,,112,115,112,,112,,,,,,,,,,
,,,116,119,,119,,,,,,,,,,,
,,,120,123,120,,,,,,,,,,,,
,,,124,127,,127,,127,,127,,127,,127,,,
,PTP GOOGLE jog2,et1,128,131,128,,128,,128,,128,,128,,,,
,,,132,135,,135,,,,,,,,,,,
,VNT Batam,1263,136,139,136,,,,,,,,,,,,
,BOOKINGAN APJII,,140,143,,143,,143,,,,,,,,,
,Kiki Suprianto Togatorop SDI NET,,144,147,144,,144,,,,,,,,,,
,asiagate,1264,148,151,,151,,,,,,,,,,,
,Mangasi Sormin,1323,152,155,152,,,,,,,,,,,,
,,,156,159,,159,,159,,159,,,,,,,
,dist batam,411,160,163,,,160,,,,,,,,,,
,,,164,167,,,,,,,,,,,,,
,ls-batam-58389 > MRO-1,728,168,169,,,,,,,,,,,,,
,ls-batam-58389 > ls-google-sdi-jkt,2001,170,171,,,,,,,,,,,,,
,ls batam 58389 <> ls batam zetta ix,unit 8 dan 9,172,173,,,,175,,,,,,,,,
,ptp zeta konek batam to zeta konek jkt 99.15,,174,175,,,,,,,,,,,,,
,LS-ncix-batam,1178,176,179,,,,,,,,,,,,,
,LS-Google-MRP-SG-sumex,281,180,183,,,,,,,,,,,,,
,LS-Google-MRP-SG-sumex-2,,184,187,,,,,,,,,,,,,
,PTP FNA Batam,178,188,191,,,,,,191,,191,,,,,
,Book Bintang Kejora Zetta IX,,192,195,192,,192,,192,,192,,,,,,
,PT Informasi Nusantara Teknologi,,196,199,,199,,,,,,,,,,,
,PT Argiz (Booked),,200,203,200,,,,,,,,,,,,
,PT Filltech Antar Nusa (Booked),,204,207,,207,,207,,,,,,,,,
,"PT Insan Sarana Telematika (Booked)
",,208,211,208,,208,,,,,,,,,,
,PT Palapa Global Nusantara (Booked),,212,215,,215,,,,,,,,,,,
,PT Solusindo Bintang Pratama,,216,219,216,,,,,,,,,,,,
,ls zc,,220,221,,223,,223,,223,,,,,,,
,PT Royal Assetindo,2801,224,227,224,,224,,224,,,,,,,,
,,,228,231,,231,,,,,,,,,,,
,PT Interlink Technology,2934,232,235,232,,,,,,,,,,,,
,PT Nusa Data Multimedia,2717,236,239,,239,,239,,,,,,,,,
, PT Filltech Antar Nus,/31,240,241,240,,240,,,,,,,,,,
,,/31,242,243,,,,,,,,,,,,,
,,/31,244,245,,,,,,,,,,,,,
,,/31,246,247,,247,,,,,,,,,,,
,PTP SGXI via FS,,248,249,248,,,,,,,,,,,,
,to ls ncix pe1,1611,250,251,,,,,,,,,,,,,
,PTP Batam <> IIX APJII CCR,,252,253,,,,,,,,,,,,,
,available /31,,254,255,,255,,255,,255,,255,,255,,255,
