cgs,,,,,,,,,,,,,,,,,
,IP Blok 116.68.163.0/24,,,,,,,,,,,,,,,,
,Mask (Dec) :,,0.252,,0.248,,0.24,,0.224,,0.192,,0.128,,0,,
,,,/30,,/29,,/28,,/27,,/26,,/25,,/24,,
,,,2,,3,,4,,5,,6,,7,,8,,
,Alokasi,Vlan,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,
,BATAM-INTAI,422,0,3,0,,0,,0,,0,,0,,0,,
,,,4,7,,7,,,,,,,,,,,B
,,,8,11,8,,,,,,,,,,,,
,,,12,15,,15,,15,,,,,,,,,
,,,16,19,16,,16,,,,,,,,,,
,,,20,23,,23,,,,,,,,,,,
,,,24,27,24,,,,,,,,,,,,
,,,28,31,,31,,31,,31,,,,,,,
,LS-SDI-NAP-SG,/31,32,33,32,,32,,32,,,,,,,,
,,/31,34,35,,,,,,,,,,,,,
,BTM SUMEX <> EIE,284,36,39,,39,,,,,,,,,,,
,SUMEX <> LS HE /31,185,40,41,40,,,,,,,,,,,,
,Mcix batam <> Google pe1,,42,43,,,,,,,,,,,,,
,IP PTP ls CIX Batam,,44,47,,47,,47,,,,,,,,,
,Remote MX-TJP,,48,51,48,,48,,,,,,,,,,
,Dist TJ PInang Mikrotik 4,45,52,55,,55,,,,,,,,,,,
,LS Transit <> CCR SG,789,56,59,56,,,,,,,,,,,,
,LS Equinix <> CCR SG,790,60,63,,63,,63,,63,,63,,,,,
,Pinang ,17,64,67,64,,64,,64,,64,,,,,,
,,,68,71,,71,,,,,,,,,,,
,,,72,75,72,,,,,,,,,,,,
,,,76,79,,79,,79,,,,,,,,,
,,,80,83,80,,80,,,,,,,,,,
,,,84,87,,87,,,,,,,,,,,
,,,88,91,88,,,,,,,,,,,,
,,,92,95,,95,,95,,95,,,,,,,
,Speedtest 10G,,96,99,96,,96,,96,,,,,,,,
,intek-transit,1710,100,103,,103,,,,,,,,,,,
,Mcix batam <> Google pe1-2 /31,,104,105,104,,,,,,,,,,,,
,SUMEX <> LS HE-2 /31,,106,107,,,,,,,,,,,,,
,BTM SUMEX <> LS EIE-2,,108,111,,111,,111,,,,,,,,,
,SERVER ROUTER TEST SG,1525,112,115,112,,112,,,,,,,,,,
,,,116,119,,119,,,,,,,,,,,
,,,120,123,120,,,,,,,,,,,,
,,,124,127,,127,,127,,127,,127,,127,,,
,Kiki Suprianto Togatorop | Sungai Langkai,1322,128,131,128,,128,,128,,128,,128,,,,
,test batam-pinang,1324,132,135,,135,,,,,,,,,,,
,bp Batam via Solnet,1325,136,139,136,,,,,,,,,,,,
,Delapan Sembilan New,1587,140,143,,143,,143,,,,,,,,,
,Papala,2280,144,147,144,,144,,,,,,,,,,
,Informasi Nusantara Teknologi,2282,148,151,,151,,,,,,,,,,,
,2-transit-sg-via-fs,1328,152,155,152,,,,,,,,,,,,
,eie,1329,156,157,,159,,159,,159,,,,,,,
,,,158,159,,,,,,,,,,,,,
,DNS BATAM NEW,,160,163,160,,160,,160,,,,,,,,
,,,164,167,,167,,,,,,,,,,,
,FTTH BOB,784,168,171,168,,,,,,,,,,,,
,Isatnet,2281,172,175,,175,,175,,,,,,,,,
,DIST INET INTAI BACKUP,2802,176,179,176,,176,,,,,,,,,,
,,,180,183,,183,,,,,,,,,,,
,,,184,187,184,,,,,,,,,,,,
,,,188,191,,191,,191,,191,,191,,,,,
,remote SG,,192,195,192,,192,,192,,192,,,,,,
,,,196,199,,199,,,,,,,,,,,
,PT Argiz Mitra,2230,200,203,200,,,,,,,,,,,,
,PTP BOB MX,,204,207,,207,,207,,,,,,,,,
,ptp-bob-batam-new,2077,208,211,208,,208,,,,,,,,,,
,,,212,215,,215,,,,,,,,,,,
,batam <> ls-sdi-nap-jkt,1051,216,217,216,,,,,,,,,,,,
,,/31,218,219,,,,,,,,,,,,,
,Interlink,,220,223,,223,,223,,223,,,,,,,
,DIST INET INTAI,,224,227,224,,224,,224,,,,,,,,
,,,228,231,,231,,,,,,,,,,,
,,,232,235,232,,,,,,,,,,,,
,,,236,239,,239,,239,,,,,,,,,
,,,240,243,240,,240,,,,,,,,,,
,,,244,247,,247,,,,,,,,,,,
,,,248,251,248,,,,,,,,,,,,
,,,252,255,,255,,255,,255,,255,,255,,255,
