twe,,,,,,,,,,,,,,,,,
,,IP Blok 116.68.170.0/24,,,,,,,,,,,,,,,
,,Mask (Dec) :,,.252,,.248,,.240,,.224,,.192,,.128,,.0,
,,,,/30,,/29,,/28,,/27,,/26,,/25,,/24,
,,,,2,,3,,4,,5,,6,,7,,8,
,,Alokasi,Vlan,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast
,,LS NTTIX - Dist MR /31,438,0,1,,,,,,,,,,,,
,,LS NCIX - DIST MR /31,,2,3,,,,,,,,,,,,
,,Remote Mikrotik Singkawang,3885,4,7,,,,,,,,,,,,
,,Asisi additional route to 116.68.170.190,1112,8,11,,,,,,,,,,,,
,,,,12,15,,,,,,,,,,,,
,,CSR Masjid Daarul Adzkaar,2445,16,19,,,,,,,,,,,,
,,Bandung OIXP,,20,23,,,,,,,,,,,,
,,IPNet Reloakasi New 9/2/2018,536,24,27,,,,,,,,,,,,
,,,,28,31,,,,,,,,,,,,
,,,,32,35,,,,,,,,,,,,
,,,,36,39,,,,,,,,,,,,
,,"Server (speedtest-43,...)",47,40,43,40,,,,,,,,,,,
,,,,44,47,,47,,,,,,,,,,
,,,,48,51,,,,,,,,,,,,
,,,,52,55,,,,,,,,,,,,
,,,,56,59,,,,,,,,,,,,
,,,,60,63,,63,,,,,,,,,,
,,AL Azhar 25,2411,64,67,64,,,,,,,,,,,
,,DNS 7070,666,68,71,,71,,,,,,,,,,
,,,,72,75,,,,,,,,,,,,
,,Polda metro jaya,1449,76,79,,,,,,,,,,,,
,,IP Remote XM204 ISC /31,53,80,81,,,,,,,,,,,,
,,/31 available,,82,83,,,,,,,,,,,,
,,,,84,87,,,,,,,,,,,,
,,,,88,91,,,,,,,,,,,,
,,,,92,95,,95,,,,,,,,,,
,,PT Graha Intermedia Net,2292,96,99,,,,,,,,,,,,
,,,,100,103,,,,,,,,,,,,
,,,,104,107,,,,,,,,,,,,
,,PT Hendra Jaya Putra,,108,111,,,,,,,,,,,,
,,R Keuangan,1113,112,,,,,,,,,,,,,
,,,,,,,119,,,,,,,,,,
,,,,120,123,120,,,,,,,,,,,
,,,,124,127,,127,,,,,,,,,,
,,,,128,131,128,,128,,128,,128,,128,,,
,,comand center <> ro baru CC luwuk,,132,135,,135,,,,,,,,,,
,,Internal SDI dsa,,136,139,136,,,,,,,,,,,
,,,,140,143,,143,,143,,,,,,,,
,,,,144,147,144,,144,,,,,,,,,
,,,,148,151,,151,,,,,,,,,,
,,FTTH Cibubur,1116,152,155,152,,,,,,,,,,,
,,,,156,159,,159,,159,,159,,,,,,
,,,,160,163,160,,160,,160,,,,,,,
,,,,164,167,,167,,,,,,,,,,
,,,,168,171,168,,,,,,,,,,,
,,,,172,175,,175,,175,,,,,,,,
,,AL Hamidiyah,2188,176,179,176,,176,,,,,,,,,
,,,,180,183,,183,,,,,,,,,,
,,,,184,187,184,,,,,,,,,,,
,,ASISI 2,1112,188,191,,191,,191,,191,,191,,,,
,,IPNETwork,536,192,195,,,,,,,,,,,,
,,,,196,199,,,,,,,,,,,,
,,,,200,,,,,,,,,,,,,
,,,,,,,207,,,,,,,,,,
,,,,208,211,208,,,,,,,,,,,
,,PT Graha Intermedia Net,1857,212,215,,215,,,,,,,,,,
,,,,216,219,,,,,,,,,,,,
,,PMJ Static,1449,220,223,,,,,,,,,,,,
,,,,224,227,224,,,,,,,,,,,
,,,,228,231,,231,,,,,,,,,,
,,"Bareskrim Polri
",1833,232,235,232,,,,,,,,,,,
,,,,236,239,,239,,239,,,,,,,,
,,,,240,243,,,,,,,,,,,,
,,,,244,247,,247,,,,,,,,,,
,,,,248,251,248,,,,,,,,,,,
,,,,254,255,,255,,,,,,,,,,255
