202.47.182.0/24 | 58552,,,,,,,,,,,,,,,
Mask (Dec) :,,0.252,,0.248,,0.24,,0.224,,0.192,,0.128,,0,
,,/30,,/29,,/28,,/27,,/26,,/25,,/24,
,,2,,3,,4,,5,,6,,7,,8,
Alokasi,Vlan,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast
,1527,0,1,0,,0,,0,,0,,0,,0,
,1565,2,3,,,,,,,,,,,,
,1663,4,5,,7,,,,,,,,,,
,222,6,7,,,,,,,,,,,,
,223,8,9,8,,,,,,,,,,,
,224,10,11,,,,,,,,,,,,
,224,12,13,,15,,15,,,,,,,,
,225,14,15,,,,,,,,,,,,
,907,16,17,16,,16,,,,,,,,,
,1290,18,19,,,,,,,,,,,,
,1310,20,21,,23,,,,,,,,,,
,1393,22,23,,,,,,,,,,,,
,1520,24,25,24,,,,,,,,,,,
ls multiix to ls fna pe1,923,26,27,,,,,,,,,,,,
ls sdi connect,1673,28,29,,31,,31,,31,,,,,,
multi-ix-mx304-ls-eie-sg,,30,31,,,,,,,,,,,,
multi-ix-mx304-ls-sgix-sg,,32,33,,,,,,,,,,,,
v1995-multi-ix-mx304-ls-google-cloud,1995,34,35,,,,,,,,,,,,
v1996-multi-ix-mx304-ls-google-sg,1996,36,37,,,,,,,,,,,,
v1998-multi-ix-mx304-ls-agg,1998,38,39,,,,,,,,,,,,
idle,,40,41,,,,,,,,,,,,
idle,,42,43,,,,,,,,,,,,
idle,,44,45,,,,,,,,,,,,
idle,/31,46,47,,,,,,,,,,,,
ptp ls multiix <> facebook ntt pe1,/31,48,49,48,,48,,,,,,,,,
ls multiix to netflx,/31,50,51,,,,,,,,,,,,
GMI ,1650,52,55,,55,,,,,,,,,,
Laxo multi ix mx304,2051,56,59,56,,,,,,,,,,,
sandya multi ix mx304,1853,60,63,,63,,63,,63,,63,,,,
fibernet multiix ,,64,67,64,,64,,64,,64,,,,,
laxo (indo acc semesta),2080,68,71,,71,,,,,,,,,,
lancar jaya network,1619,72,75,72,,,,,,,,,,,
SKI,183,76,79,,79,,79,,,,,,,,
Laxo | PT Anugerah Karunia Perkasa Abadi,2053,80,83,80,,80,,,,,,,,,
Indocyber ,540,84,87,,87,,,,,,,,,,
Mega Mentari ,659,88,91,88,,,,,,,,,,,
,,92,95,,95,,95,,95,,,,,,
,1492,96,99,96,,96,,96,,,,,,,
Rajeg non cdn,2042,100,103,,103,,,,,,,,,,
mahawira,2044,104,107,104,,,,,,,,,,,
mahawira-ipbaru,2044,108,111,,111,,111,,,,,,,,
,,112,115,112,,112,,,,,,,,,
SumatraMs,2117,116,119,,119,,,,,,,,,,
Airlink trial,2191,120,123,120,,,,,,,,,,,
smartek,2312,124,127,,127,,127,,127,,127,,127,,
golden network nusantara,2313,128,131,128,,128,,128,,128,,128,,,
PT Solo Jala Buana,2318,132,135,,135,,,,,,,,,,
Lintas daya Nusantara,2321,136,139,136,,,,,,,,,,,
PT Digital Media Telematika,2323,140,143,,143,,143,,,,,,,,
Air Lintas PTP PT Juara Network Tegal,,144,147,144,,144,,,,,,,,,
PT Nesta Indo Media,2434,148,151,,151,,,,,,,,,,
mahawira-backup,2063,152,155,152,,,,,,,,,,,
greeenet,2147,156,159,,159,,159,,159,,,,,,
Yesnet,2659,160,163,160,,160,,160,,,,,,,
PT Gading Bhakti Utama trial,4887,164,167,,167,,,,,,,,,,
Bena bentala,2452,168,171,168,,,,,,,,,,,
PT Juara Network Tegal ,2308,172,175,,175,,175,,,,,,,,
PT Lentera Abadi,2240,176,179,176,,176,,,,,,,,,
,,180,183,,183,,,,,,,,,,
,,184,187,184,,,,,,,,,,,
,,188,191,,191,,191,,191,,191,,,,
,,192,195,192,,192,,192,,192,,,,,
,,196,199,,199,,,,,,,,,,
,,200,203,200,,,,,,,,,,,
,,204,207,,207,,207,,,,,,,,
,,208,211,208,,208,,,,,,,,,
,,212,215,,215,,,,,,,,,,
,,216,219,216,,,,,,,,,,,
,,220,223,,223,,223,,223,,,,,,
,,224,227,224,,224,,224,,,,,,,
,,228,231,,231,,,,,,,,,,
,,232,235,232,,,,,,,,,,,
,,236,237,,239,,239,,,,,,,,
ls agg multiix 58389,,238,239,,,,,,,,,,,,
LS Content Campur PE1,,240,241,,,,,,,,,,,,
LS GOOGLE SDI PE2,/31,242,242,240,,240,,,,,,,,,
LS-AGG-Multi-IX to Kediri-2 via Icon,1198,244,245,,247,,,,,,,,,,
LS-AGG-Multi-IX to Kediri-2 via Lintas,1199,246,247,,,,,,,,,,,,
0 LS-PNI-304,,248,251,248,,,,,,,,,,,
ptp ambil akamai tahyon,399,252,255,,255,,255,,255,,255,,255,,255
