,202.47.183.0/24 | 58552,,,,,,,,,,,,,,,
,Mask (Dec) :,,0.252,,0.248,,0.24,,0.224,,0.192,,0.128,,0,
,,,/30,,/29,,/28,,/27,,/26,,/25,,/24,
,,,2,,3,,4,,5,,6,,7,,8,
,Alokasi,Vlan,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast
/31,v1981-ipp-mx304-ls-agg-ipt,,0,1,,,0,,0,,0,,0,,0,
/31,v1982-ipp-mx304-sdix-ambil-akam,,2,3,,,,,,,,,,,,
/31,v1983-ipp-mx304-ls-sgix-mro2,,4,5,,,,,,,,,,,,
/31,v1984-ipp-mx304-ls-eie-mro1,,6,7,,,,15,,,,,,,,
/31,v1985-ipp-mx304-google-sg-pe1,,8,9,,,16,,,,,,,,,
/31,v1986-ipp-mx304-google-cloud-pe1,,10,11,,,,,,,,,,,,
/31,v1987-ipp-mx304-fna-pe1,,12,13,,,,,,,,,,,,
/31,v1988-ipp-mx304-facebook-pe1,,14,15,,,,31,,31,,,,,,
/31,v1989-ipp-mx304-MRO2,,16,17,,,32,,32,,,,,,,
/31,ls netflix,,18,19,,,,,,,,,,,,
/31,reserv,,20,21,,,,,,,,,,,,
/31,multi-ix-mx304-ls-eie-sg,,22,23,,,,47,,,,,,,,
/31,multi-ix-mx304-ls-sgix-sg,,24,25,,,48,,,,,,,,,
/31,multi-ix-Transit-mx204-jkt,2232,26,27,,,,,,,,,,,,
/31,ls google sdi pe2,,28,29,,,,,,,,,,,,
/31,LS SDI NAP SG,2585,30,31,,,,,,,,,,,,
/31,multiconnect2 to ls google jkt pe1,/31 1253,32,33,,,,,,,,,,,,
/31,,,34,35,,,,,,,,,,,,
/31,,,36,37,,,,,,,,,,,,
/31,,,38,39,,,,,,,,,,,,
/31,,,40,41,,,,,,,,,,,,
/31,,,42,43,,,,,,,,,,,,
/31,,,44,45,,,,,,,,,,,,
/31,,,46,47,,,,,,,,,,,,
,,,48,51,,,,,,,,,,,,
,,,52,55,,,,,,,,,,,,
,dian-nuswantoro 1536,1536,56,59,,,,,,,,,,,,
,estiko-ramanda 1871,1871,60,63,,,,,,,,,,,,
,fiberlink 2363,2363,64,67,64,,64,,64,,64,,,,,
,gading-bhakti-utama 1902,1902,68,71,,71,,,,,,,,,,
,gmedia-BIP 1648,1648,72,75,72,,,,,,,,,,,
,subnet data nusantara,2860,76,79,,79,,79,,,,,,,,
,inovasi-teknologi-pintar 1921,1921,80,83,80,,80,,,,,,,,,
,inter-medialink-solusi 1761,1761,84,87,,87,,,,,,,,,,
,artha lintas data,2396,88,91,88,,,,,,,,,,,
,jaringan-rtrwnet-nusantara 1484,1484,92,95,,95,,95,,95,,,,,,
,laxo-new 2052,2052,96,99,96,,96,,96,,,,,,,
,loveika-host-nusantara 1646,1646,100,103,,103,,,,,,,,,,
,runnet,1261,104,107,104,,,,,,,,,,,
,sandya-sistem-indonesia 2777,2777,108,111,,111,,111,,,,,,,,
,sbp 1556,1556,112,115,112,,112,,,,,,,,,
,solusi-basis-teknologi 1641,1641,116,119,,119,,,,,,,,,,
,ssr-digital-informatika 2499,2499,120,123,120,,,,,,,,,,,
,,,124,127,,127,,127,,127,,127,,127,,
,telemedia-komunikasi-pratama 1869,1869,128,131,128,,128,,128,,128,,128,,,
,telemedia-komunikasi-pratama-backup 1869,1869,132,135,,135,,,,,,,,,,
,argon-internet-amariqindo 2810,2810,136,139,136,,,,,,,,,,,
,,,140,143,,143,,143,,,,,,,,
,linea global teknologi,2918,144,147,144,,144,,,,,,,,,
,isatnet,1870,148,151,,151,,,,,,,,,,
,PT Cipta Trimitra Perkasa,2066,152,155,152,,,,,,,,,,,
,PT Jelajah Kreasi Informatika,2330,156,159,,159,,159,,159,,,,,,
,PT Pioneer Nusatama Technology,2486,160,163,160,,160,,160,,,,,,,
,PT Komunikasi Profesional Indonesia,2068,164,167,,167,,,,,,,,,,
,PT Badan Global Visi Vindici,,168,171,168,,,,,,,,,,,
,PT Sumatra Multimedia Solusi.,2116,172,175,,175,,175,,,,,,,,
,,,176,179,176,,176,,,,,,,,,
,PT Golden Network Nusantara,,180,183,,183,,,,,,,,,,
,,,184,187,184,,,,,,,,,,,
,,,188,191,,191,,191,,191,,191,,,,
,,,192,195,192,,192,,192,,192,,,,,
,PT Palapa Global Nusantara,2319,196,199,,199,,,,,,,,,,
,,,200,203,200,,,,,,,,,,,
,PT Nesta Indo Media,2433,204,207,,207,,207,,,,,,,,
,PT Pratama Husta,1623,208,211,208,,208,,,,,,,,,
,PT Patra Sinar Teknologi,2455,212,215,,215,,,,,,,,,,
,asia-akses-utama 1860,1860,216,219,216,,,,,,,,,,,
,PT Global Teknologi Teraindo,2461,220,223,,223,,223,,223,,,,,,
,PT Lentera Abadi Solusinet,2013,224,227,224,,224,,224,,,,,,,
,,,228,231,,231,,,,,,,,,,
,,,232,235,232,,,,,,,,,,,
,asriglobal 2364,2364,236,239,,239,,239,,,,,,,,
,,,240,243,240,,240,,,,,,,,,
,,,244,247,,247,,,,,,,,,,
,,,248,249,248,,,,,,,,,,,
,v1014-ls-sdi-nap-to-MC-304,1014,250,251,,,,,,,,,,,,
,LT-Multiconnect-mx304,,252,255,,255,,255,,255,,255,,255,,255
