x`x`,IPi,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,IP Point To Point SDI IP TRANSIT,,,,,,,,,,,,,,,
,,IP Blok 202.72.204.0/24,,,,,,,,,,,,,,,
,,Mask (Dec) :,,.252,,.248,,.240,,.224,,.192,,.128,,.0,
,,,,/30,,/29,,/28,,/27,,/26,,/25,,/24,
,,,,2,,3,,4,,5,,6,,7,,8,
,,Alokasi,Vlan,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast
,,idle yee,,0,1,0,,0,,0,,0,,0,,0,
,,IPT to PE1 FNA Cgk,254,2,3,,3,,,,,,,,,,
,,IP Loopback MX204 SG1 - 202.72.204.5/32,,4,5,4,,,,,,,,,,,
,,,,6,7,,7,,,,,,,,,,
,,,,8,9,,,,,,,,,,,,
,,PTP TRANSIT 2 - IPT MX960,1517,10,11,8,,,,,,,,,,,
,,TJP to IPT Jakarta,55,12,15,,15,,15,,,,,,,,
,,SKI New,182,16,19,16,,16,,,,,,,,,
,,Lancar jaya network,705,20,23,,23,,,,,,,,,,
,,MX204 PE0 IPT 204.254,478,24,27,24,,,,,,,,,,,
,,microsoft-cdc,263,28,31,,31,,31,,31,,,,,,
,,"Dist Bandung
",700,32,35,32,,32,,32,,,,,,,
,,microsoft-cdc,263,36,39,,39,,,,,,,,,,
,,Inetku *new (PT Samudra Kilat Indonesia),424,40,43,40,,,,,,,,,,,
,,Fibernet,609,44,47,,47,,47,,,,,,,,
,,microsoft ntt ,,48,51,48,,48,,,,,,,,,
,,ex PT Trans indonesia superkoridor,,52,55,,55,,,,,,,,,,
,,To TJP - Transit JKT,576,56,59,56,,,,,,,,,,,
,,Jalawave,603,60,63,,63,,63,,63,,63,,,,
,,dist ruko ,243,64,67,64,,64,,64,,64,,,,,
,,TNCC AS38764,209,68,71,,71,,,,,,,,,,
,,TNCC AS38764,215,72,75,72,,,,,,,,,,,
,,DMA Migrasi ,494,76,79,,79,,79,,,,,,,,
,,"batam Sumex-2""",1020,80,83,80,,80,,,,,,,,,
,, PT Rasi Bintang Perkasa ,1837,84,87,,87,,,,,,,,,,
,,,,88,91,88,,,,,,,,,,,
,,,,92,95,,95,,95,,95,,,,,,
,,PT Telemedia Dinamika Sarana,1491,96,99,96,,96,,96,,,,,,,
,,,,100,103,,103,,,,,,,,,,
,,,,104,107,104,,,,,,,,,,,
,,"PTP To MX204 nEW ---> ping reply, config founded (vlan1143)",,108,111,,111,,111,,,,,,,,
,,,,112,115,112,,112,,,,,,,,,
,,Arana Migrasi cyb,480,116,119,,119,,,,,,,,,,
,,ptp to pe2,1031,120,123,120,,,,,,,,,,,
,,,/31,124,125,,,,,,,,,,,,
,,,/31,126,127,,127,,127,,127,,127,,127,,
,,PT Gasatek Bintang Nusantara,1163,128,131,128,,128,,128,,128,,128,,,
,,ex PT Diaza Lintas Asia IPT,,132,135,,135,,,,,,,,,,
,,Mega Mentari (gigantara),658,136,139,136,,,,,,,,,,,
,,TIS,1687,140,143,,143,,143,,,,,,,,
,,PTP IPT - LS Transit SG-2 /31,1630,144,145,144,,144,,,,,,,,,
,,,,146,147,,,,,,,,,,,,
,,IP Baru SDI-NET Kiki Suprianto Togatorop site Sungai Langkai,1322,148,151,,151,,,,,,,,,,
,,Zenlayer,,152,155,152,,,,,,,,,,,
,,,,156,159,,159,,159,,159,,,,,,
,,Media Indo Cyber,354,160,163,160,,160,,160,,,,,,,
,,Rasi Bintang IPT2,1836,164,167,,167,,,,,,,,,,
,,PT Tower Bersama,1847,168,171,168,,,,,,,,,,,
,,PT Java Digital Nusantara,,172,175,,175,,175,,,,,,,,
,,,,176,179,176,,176,,,,,,,,,
,,PT Gasatek Bintang Nusantara,1163,180,183,,183,,,,,,,,,,
,,PT Pass Internet Indonesia (Trial),1238,184,187,184,,,,,,,,,,,
,,ex primadona,,188,191,,191,,191,,191,,191,,,,
,,,,192,195,192,,192,,192,,192,,,,,
,,,,196,199,,199,,,,,,,,,,
,,dist bandung-2,715,200,203,200,,,,,,,,,,,
,,reserved DNS MRP,2355,204,207,,207,,207,,,,,,,,
,,ex PT GreenNet Indonesia (pindah pe0),1246,208,211,208,,208,,,,,,,,,
,,TNCC-Truno,647,212,215,,215,,,,,,,,,,
,,,595,216,219,216,,,,,,,,,,,
,,RT RW NET,880,220,223,,223,,223,,223,,,,,,
,,PTP IPT MX960 to LS GOOGLE PE1 /31,1527,224,225,224,,224,,224,,,,,,,
,,PT Network Center Nusantara,,226,227,,,,,,,,,,,,
,,PT Network Center Nusanatra,,228,231,,231,,,,,,,,,,
,,PTP MX204 kediri via lintas,,232,233,,,,,,,,,,,,
,,ipt-PE3 to MRO 1 /31,,234,235,232,,,,,,,,,,,
,,,,236,239,,239,,239,,,,,,,,
,,ls transit to Multi 3 /31,1285,240,241,240,,240,,,,,,,,,
,,LS Netflix to IPT MX960 /31,273,242,243,,,,,,,,,,,,
,,,,244,245,,,,,,,,,,,,
,,to LS transit SG /31,186,246,247,,,,,,,,,,,,
,,ipt-PE3 to MRO 2 /31,,248,249,,,,,,,,,,,,
,,,,250,251,,,,,,,,,,,,
,,Remote PE0 ,49,252,255,,255,,255,,255,,255,,255,,255
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Selesai Dicek,,,,,,,,,,,,,,,
