43.240.229.0/24,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mask (Dec) :,,.252,,.248,,.240,,.224,,.192,,.128,,.0,
,,/30,,/29,,/28,,/27,,/26,,/25,,/24,
,,2,,3,,4,,5,,6,,7,,8,
Alokasi,Vlan,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast
IDLE YA GES YA,,0,1,,,,,,,,,,,,
idle yee,,2,3,0,,0,,0,,0,,0,,0,
,,4,7,,7,,,,,,,,,,
,,8,11,8,,,,,,,,,,,
,,12,15,,15,,15,,,,,,,,
PT Bimatek,363,16,19,16,,16,,,,,,,,,
,,20,23,,23,,,,,,,,,,
"Quanta 137363
",335,24,27,24,,,,,,,,,,,
PT Lintas Jaringan Nusantara,1268,28,31,,31,,31,,31,,,,,,
pc24 surabaya,,32,35,32,,32,,32,,,,,,,
PT Lintas Jaringan Nusantara IDC Backup,1268,36,39,,39,,,,,,,,,,
,,40,43,40,,,,,,,,,,,
PT Mitra Akses Global | Magnet,473,44,47,,47,,47,,,,,,,,
,,48,51,48,,48,,,,,,,,,
PT Paket Data Andalan,1021,52,55,,55,,,,,,,,,,
PT Master Star Network,,56,59,56,,,,,,,,,,,
Natha buana Migrasi,1627,60,63,,63,,63,,63,,63,,,,
PT Centrin Online,138,64,67,64,,64,,64,,64,,,,,
,,68,71,,71,,,,,,,,,,
PT Natha Buana Indo (Peer lama),2200,72,75,72,,,,,,,,,,,
,,76,79,,79,,79,,,,,,,,
PT Giganet,341,80,83,80,,80,,,,,,,,,
PT PC 24,485,84,87,,87,,,,,,,,,,
,,88,91,88,,,,,,,,,,,
idle ya ges ya,,92,93,,95,,95,,95,,,,,,
MConnect <> LS Google Cloud Pe1,351,94,95,,,,,,,,,,,,
MConnect <> LS FB NTT,168,96,97,96,,96,,96,,,,,,,
PE0 to LS CIX PE0-2,361,98,99,,,,,,,,,,,,
,,100,103,,103,,,,,,,,,,
PT Melvar Lintas Nusa - IDC,367,104,107,104,,,,,,,,,,,
,,108,111,,111,,111,,,,,,,,
,,112,115,112,,112,,,,,,,,,
idle yee,,116,117,,,,,,,,,,,,
MConnect<>LS Microsoft pe1,169,118,119,,119,,,,,,,,,,
,,120,123,120,,,,,,,,,,,
Palapa IP Port,,124,127,,127,,127,,127,,127,,127,,
PT Nugraha Utama Teknologi,605,128,131,128,,128,,128,,128,,128,,,
,,132,135,,135,,,,,,,,,,
,,136,139,136,,,,,,,,,,,
,,140,143,,143,,143,,,,,,,,
PT Citra Agung Mestika,1431,144,147,144,,144,,,,,,,,,
,,148,151,,151,,,,,,,,,,
PT Dewata Telematika,673,152,155,152,,,,,,,,,,,
,,156,159,,159,,159,,159,,,,,,
PT Nex Solusi Teknologi,2501,160,163,160,,160,,160,,,,,,,
PT  Econdelight,2135,164,167,,167,,,,,,,,,,
idle yee,,168,169,168,,,,,,,,,,,
MConnect <> LS NTTIX,,170,171,,,,,,,,,,,,
PT Cover Network Indonesia,1068,172,175,,175,,175,,,,,,,,
idle ya ges ya,,176,177,,,,,,,,,,,,
MConnect C <> LS FB pe1,1308,178,179,176,,176,,,,,,,,,
PT ABS Multimedia Indonesia,1302,180,183,,183,,,,,,,,,,
PT Arka Data Prima,,184,187,184,,,,,,,,,,,
PT Restu Panca Alam,799,188,191,,191,,191,,191,,191,,,,
PT Cikarang Cyberindo (Jetflash),174,192,195,192,,192,,192,,192,,,,,
LS cix Pe02<>LS Akamai,358,196,197,,199,,,,,,,,,,
LS Cix Pe02<>LS FB NTT,359,198,199,,,,,,,,,,,,
PT Sumatra Multimedia Solusi,1550,200,203,200,,,,,,,,,,,
,,204,207,,207,,207,,,,,,,,
MConnect  C <> LS FNA,1309,208,209,,,,,,,,,,,,
MConnect C <> LS Netflix,1313,210,211,208,,208,,,,,,,,,
PT Jaringan VNT,179,212,215,,215,,,,,,,,,,
IP LOOPBACK PE0,,216,219,216,,,,,,,,,,,
,,220,223,,223,,223,,223,,,,,,
PT Giga Patra Multimedia,1555,224,227,224,,224,,224,,,,,,,
PT Neverlink Utama Media,1222,228,231,,231,,,,,,,,,,
idle yee,,232,235,232,,,,,,,,,,,
PT Skyline Semesta,379,236,239,,239,,239,,,,,,,,
PT Citra Agung Mestika,1257,240,243,240,,240,,,,,,,,,
PT Iosys Media Data,2502,244,247,,247,,,,,,,,,,
,,248,251,248,,,,,,,,,,,
MConnec Plus <> LS FB pe1,428,252,253,,,,,,,,,,,,
idle yee,,254,255,,255,,255,,255,,255,,255,,255
