,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ASN Origin : ,,,,,,,,,,,,,,,,,
Router : exs MRO IPT ,,,,,,,,,,,,,,,,,
IP Name : PT Sumber Data Indonesia,,,,,,,,,,,,,,,,,
IP Blok 43.240.230.0/24 ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Mask (Dec) :,,.252,,.248,,.240,,.224,,.192,,.128,,.0,,,
,,/30,,/29,,/28,,/27,,/26,,/25,,/24,,,
,,2,,3,,4,,5,,6,,7,,8,,,
Alokasi,Vlan,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,,
GGC DPS 2,,0,3,0,,0,,0,,0,,0,,0,,,
,,4,7,,7,,,,,,,,,,,,
,,8,11,8,,,,,,,,,,,,,
,,12,15,,15,,15,,,,,,,,,,
,,16,19,16,,16,,,,,,,,,,,
,,20,23,,23,,,,,,,,,,,,
,,24,27,24,,,,,,,,,,,,,
,,28,31,,31,,31,,31,,,,,,,,
,,32,35,32,,32,,32,,,,,,,,,
,,36,39,,39,,,,,,,,,,,,
,,40,43,40,,,,,,,,,,,,,
,,44,47,,47,,47,,,,,,,,,,
,,48,51,48,,48,,,,,,,,,,,
,,52,55,,55,,,,,,,,,,,,
,,56,59,56,,,,,,,,,,,,,
,,60,63,,63,,63,,63,,63,,,,,,
Reserved GGC SDI 58389 - 240626,,64,67,64,,64,,64,,64,,,,,,,
,,68,71,,71,,,,,,,,,,,,
,,72,75,72,,,,,,,,,,,,,
,,76,79,,79,,79,,,,,,,,,,
,,80,83,80,,80,,,,,,,,,,,
,,84,87,,87,,,,,,,,,,,,
,,88,91,88,,,,,,,,,,,,,
,,92,95,,95,,95,,95,,,,,,,,
,,96,99,96,,96,,96,,,,,,,,,
,,100,103,,103,,,,,,,,,,,,
,,104,107,104,,,,,,,,,,,,,
,,108,111,,111,,111,,,,,,,,,,
,,112,115,112,,112,,,,,,,,,,,
,,116,119,,119,,,,,,,,,,,,
,,120,123,120,,,,,,,,,,,,,
,,124,127,,127,,127,,127,,127,,127,,,,
,,128,131,128,,128,,128,,128,,128,,,,,
,,132,135,,135,,,,,,,,,,,,
,,136,139,136,,,,,,,,,,,,,
,,140,143,,143,,143,,,,,,,,,,
,,144,147,144,,144,,,,,,,,,,,
,,148,151,,151,,,,,,,,,,,,
,,152,155,152,,,,,,,,,,,,,
lentera,,156,159,,159,,159,,159,,,,,,,,
PT Mahawira Nusantara Grup (Migarasi),,160,163,160,,160,,160,,,,,,,,,: PTP Book Migrasi Multi IX 304
PT Mega Mentari Cirebon (Migrasi),,164,167,,167,,,,,,,,,,,,
PT Solusi Aksesindo Pratama Netzap (Migrasi),,168,171,168,,,,,,,,,,,,,
PT Sandya Sistem Indonesia (Migrasi),,172,175,,175,,175,,,,,,,,,,
PT Sumber Koneksi Indonesia (Migrasi),,176,179,176,,176,,,,,,,,,,,
PT Solo Jala Buana (Migrasi),,180,183,,183,,,,,,,,,,,,
PT Digital Media Telematika (Migrasi),,184,187,184,,,,,,,,,,,,,
PT Sumatra Multimedia Solusi (Migrasi),,188,191,,191,,191,,191,,191,,,,,,
PT Air Lintas Komunikasi (Migrasi),,192,195,192,,192,,192,,192,,,,,,,
PT Arsya Bintang Nusantara (Migrasi),,196,199,,199,,,,,,,,,,,,
PT Artha Lintas Data Mandiri (Migrasi),,200,203,200,,,,,,,,,,,,,
PT Bena Bentala Services (Migrasi),,204,207,,207,,207,,,,,,,,,,
PT Fiber Networks Indonesia (Migrasi),,208,211,208,,208,,,,,,,,,,,
PT Gading Bhakti Utama (Migrasi),,212,215,,215,,,,,,,,,,,,
PT Telemedia Dinamika Sarana (Migrasi),,216,219,216,,,,,,,,,,,,,
PT Media Sarana Data | Gmedia (Migrasi),,220,223,,223,,223,,223,,,,,,,,
PT Golden Network Nusantara (Migrasi),,224,227,224,,224,,224,,,,,,,,,
PT Green Net Indonesia (Migrasi),,228,231,,231,,,,,,,,,,,,
Indo Akses Semesta (LAXO) (Migrasi),,232,235,232,,,,,,,,,,,,,
PT Jaringan Multimedia Cirebon (Migrasi),,236,239,,239,,239,,,,,,,,,,
PT Jaringan Universal Online Solusindo (Migrasi),,240,243,240,,240,,,,,,,,,,,
PT Juara Network Tegal (Migrasi),,244,247,,247,,,,,,,,,,,,
PT Laxo Global Akses (Migrasi),,248,251,248,,,,,,,,,,,,,
"maap yak, dipake ptp ggc dps 2",,252,253,,255,,255,,255,,255,,255,,255,,
"maap yak, dipake ptp ggc dps 2",,254,255,,,,,,,,,,,,,,
