,,,,,,,,,,,,,,,,
116.68.173.0/24,,,,,,,,,,,,,,,,
Mask (Dec) :,,0.252,,0.248,,0.24,,0.224,,0.192,,0.128,,0,,
,,/30,,/29,,/28,,/27,,/26,,/25,,/24,,
,,2,,3,,4,,5,,6,,7,,8,,
Alokasi,Vlan,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,
,,0,3,0,,0,,0,,0,,0,,0,,
Nusanet IPP New,596,4,7,,7,,,,,,,,,,,B
Panca Dewata Utama,968,8,11,8,,,,,,,,,,,,
Wowrack (bestnet),518,12,15,,15,,15,,,,,,,,,
IPP MX204 D3,484,16,19,16,,16,,,,,,,,,,
Arana IPP,196,20,23,,23,,,,,,,,,,,
IPT MX960 to MX204,,24,27,24,,,,,,,,,,,,
SDIIX MX960 to MX204,,28,31,,31,,31,,31,,,,,,,
Nusanet AS23679,595,32,35,32,,32,,32,,,,,,,,
idle ya ges ya,,36,39,,39,,,,,,,,,,,
,,40,43,40,,,,,,,,,,,,
Anindisa SDIX,643,44,47,,47,,47,,,,,,,,,
Gayuh Media informatika,375,48,51,48,,48,,,,,,,,,,
Nethome-Tachyon-FMI,874,52,55,,55,,,,,,,,,,,
Asia Akses Utama,1020,56,59,56,,,,,,,,,,,,
Palapamedia cyber,529,60,63,,63,,63,,63,,63,,,,,
PTP PE0 to IPTMX960,248,64,67,64,,64,,64,,64,,,,,,
Awan Media IPT,180,68,71,,71,,,,,,,,,,,
Awan Media SDIIX,181,72,75,72,,,,,,,,,,,,
Teknologi Bumi Nusantara New,302,76,79,,79,,79,,,,,,,,,
IPT Pe1 Cybermantra,2130,80,83,80,,80,,,,,,,,,,
SDIX Pe1 Cybermantra,2131,84,87,,87,,,,,,,,,,,
,,88,89,88,,,,,,,,,,,,
,972,90,91,,,,,,,,,,,,,
ls-sdi-nap <> ls agg ipt,979,92,93,,,,,,,,,,,,,
ls-sdi-nap-sg <> zc 1,1029,94,95,,95,,95,,95,,,,,,,
ls-sdi-nap-sg <> zc 2,1030,96,97,,,,,,,,,,,,,
ls-sdi-nap-sg <> zc transit,1031,98,99,96,,96,,96,,,,,,,,
ls-sdi-nap-sg <> zc plus,1032,100,101,,,,,,,,,,,,,
ls-sdi-nap-sg <> sdi-connect,1033,102,103,,103,,,,,,,,,,,
,,104,105,,,,,,,,,,,,,
idle yee,,106,107,104,,,,,,,,,,,,
ls-sdi-nap-sg <> paket c,1036,108,109,,,,,,,,,,,,,
ls-sdi-nap-sg <> ls agg ipt,1037,110,111,,111,,111,,,,,,,,,
ls google pe1 sdi to agg ipt,,112,113,112,,112,,,,,,,,,,
ls google pe1 sdi to agg multi ix,,114,115,,,,,,,,,,,,,
ls google sg sdi to agg ipt,,116,117,,,,,,,,,,,,,
ls google sg sdi to agg multi ix,,118,119,,119,,,,,,,,,,,
ls google sg sdi to ls mr,,120,121,120,,,,,,,,,,,,
ls mr to MRO 2,1815,122,123,,,,,,,,,,,,,
ls cdn to ls ggc dps1,2951,124,125,,127,,127,,127,,127,,127,,,
idle ya ges ya,,126,127,,,,,,,,,,,,,
PC MONITORING STUDIO,,128,131,128,,128,,128,,128,,128,,,,
,,132,135,,135,,,,,,,,,,,
,,136,139,136,,,,,,,,,,,,
,,140,143,,143,,143,,,,,,,,,
,,144,147,144,,144,,,,,,,,,,
,,148,151,,151,,,,,,,,,,,
,,152,155,152,,,,,,,,,,,,
,,156,159,,159,,159,,159,,,,,,,
,,160,163,160,,160,,160,,,,,,,,
,,164,167,,167,,,,,,,,,,,
,,168,171,168,,,,,,,,,,,,
,,172,175,,175,,175,,,,,,,,,
,,176,179,176,,176,,,,,,,,,,
,,180,183,,183,,,,,,,,,,,
,,184,187,184,,,,,,,,,,,,
,,188,191,,191,,191,,191,,191,,,,,
PT. BAI Tj. Pinang,3871,192,195,192,,192,,192,,192,,,,,,
,,,,,199,,,,,,,,,,,
,,200,203,200,,,,,,,,,,,,
,,204,207,,207,,207,,,,,,,,,
,,208,211,208,,208,,,,,,,,,,
,,212,215,,215,,,,,,,,,,,
,,216,219,216,,,,,,,,,,,,
,,220,223,,223,,223,,223,,,,,,,
,,224,227,224,,224,,224,,,,,,,,
,,228,231,,231,,,,,,,,,,,
,,232,235,232,,,,,,,,,,,,
,,236,239,,239,,239,,,,,,,,,
,,240,243,240,,240,,,,,,,,,,
,,244,247,,247,,,,,,,,,,,
,,248,251,248,,,,,,,,,,,,
,,252,255,,255,,255,,255,,255,,255,,255,
,,,,,,,,,,,,,,,,
,,,252,255,,255,,255,,255,,255,,255,,255
